log-rolling [01/'lɔg,rouliη/]	[01* dtừ]\n- sự giúp nhau đốn gỗ\n- sự thông đồng; sự giúp đỡ lẫn nhau (trong việc tố tụng, trong những mưu toan chính trị...)\n- sự tâng bốc tác phẩm của nhau (giữa các nhà phê bình văn học) 
logwood [01/'lɔgwud/]	[01* dtừ]\n- gỗ huyết mộc
logy [01/'lougi/]	[01* ttừ]\n- lờ phờ
log-yard [01/'lɔg,ja:d/]	[01* dtừ]\n- bãi gỗ súc
lohan [01/'louhæn/]	[01* dtừ]\n- la-hán (phật giáo) 
loin [01/lɔin/]	[01* dtừ s/n]\n- chỗ thắt lưng\n- miếng thịt lưng (của bò, bê)\n[04! child (fruit) of one's loin]\n- con cái\n[04! to gird up one's loins]\n- xem [03gird] 
loin-cloth [01/'lɔinklɔθ/]	[01* dtừ]\n- khăn quấn quanh thắt lưng; khố
loin-rag [01/'lɔin ræg/]	[01* dtừ]\n- xem [03loin-cloth] 
loir [01/'lɔiə/]	[01* dtừ]\n- (động vật) chuột sóc
loiter [01/'lɔitə/]	[01* đtừ]\n- đi tha thẩn, la cà; đi chơi rông\n[02= to loiter away one's time] tha thẩn lãng phí thì giờ\n- lảng vảng
loiterer [01/'lɔitərə/]	[01* dtừ]\n- người hay đi tha thẩn, người la cà; người hay đi chơi rông\n- người lảng vảng
loiteringly [01/'lɔitəriηli/]	[01* phtừ]\n- tha thẩn, la cà; dông dài\n- lảng vảng
loll [01/lɔl/]	[01* ngđtừ]\n- (+[04 out]) thè lưỡi\n- (+[04 on, against]) ngả (đầu) ; chống (tay) ; tựa một cách uể oải vào\n[01* nđtừ]\n- thè ra (lưỡi)\n- ngả đầu; gác tay chân một cách uể oải; ngồi uể oải; đứng uể oải; tựa uể oải
loll around	[01* đtừ]\n- thơ thẩn, quanh quẩn
loll of	[01* đtừ]\n- thè lưỡi ra
lollipop [01/'lɔlipɔp/]	[01* dtừ, (thường) số nhiều]\n- kẹo, kẹo que
lollipop lady [01/'lɔlipɔp leidi/]	[01* dtừ]\n- cũng [03lollipop woman], phụ nữ (mặc áo khoác trắng cầm gậy) điều khiển giao thông (ở các ngã tư) 
lollipop man [01/'lɔlipɔp'mæn/]	[01* dtừ]\n- người cầm biển tròn chận xe cộ lại, để các học sinh băng qua đường
