sclerosis [01/sklə'rousis/]	[01* dtừ]\n- (y) sự xơ cứng\n- (thực vật) sự hoá cứng (màng tế bào) 
sclerotic [01/sklə'rɔtik/]	[01* ttừ]\n- (thuộc) bệnh xơ cứng; bị xơ cứng\n[01* dtừ]\n- (phẫu),(như) [03sclera] 
sclerotica [01/skle'rɔtikə/]	[01* dtừ]\n- màng cứng
sclerotin [01/'sklerətin/]	[01* dtừ]\n- prôtêin cứng
sclerotitis [01/,sklərou'taitis/]	[01* dtừ]\n- (y) viêm màng cứng (mắt) 
sclerotium [01/sklə'rou∫iəm/]	[01* dtừ] s/n [02sclerotia]\n- hạnh nấm; khối cứng
sclerotization [01/,sklerətai'zei∫n/]	[01* dtừ]\n- sự hoá xơ cứng, sự kết cứng
sclerotized [01/'sklerətaizd/]	[01* ttừ]\n- bị cứng
sclerous [01/'sklərəs/]	[01* ttừ]\n- (sinh vật) cứng lại
scm [01/,es si: 'em/]	[01* (vt)]\n- Bà đỡ có giấy chứng nhận của Nhà nước ([03State Certified Midwife] ) 
scobicular [01/skou'bikjulə/]	[01* ttừ]\n- có hạt; kết hạt
scobiform [01/'skou:bifɔ:m/]	[01* ttừ]\n- dạng hạt
scobs [01/skɔbz/]	[01* dtừ] s/n\n- mạt cưa\n- vỏ bào\n- mạt giũa\n- cứt sắt
scoff [01/skɔf/]	[01* dtừ]\n- lời chế giễu, lời đùa cợt\n- người bị đem ra làm trò cười\n[01* nđtừ]\n- chế giễu, đùa cợt; phỉ báng\n[01* dtừ]\n- (lóng) thức ăn, bữa ăn\n[01* đtừ]\n- (lóng) ngốn, hốc, ăn ngấu nghiến
scoffer [01/'skɔfə/]	[01* dtừ]\n- người hay chế giễu, người hay đùa cợt; người hay phỉ báng
scoffingly [01/'skɔfiηli/]	[01* phtừ]\n- chế giễu, đùa cợt; phỉ báng
scold [01/skould/]	[01* đtừ]\n- rầy la, trách mắng, mắng mỏ; gắt gỏng\n[01* dtừ]\n- người đàn bà bẳn tính, người đàn bà hay gắt gỏng; người đàn bà hay chửi rủa
scolder [01/'skauldə/]	[01* dtừ]\n- người mắng mỏ
scolding [01/'skouldiη/]	[01* dtừ]\n- sự rầy la, sự trách mắng, sự quở trách, sự chửi rủa
scoleces [01/skou'li:si:z/]	[01* dtừ] s/n]\n- (động vật) đầu sán
scolex [01/skouleks/]	như [03scoleces]
scoliosis [01/,skɔli'ousis/]	[01* dtừ]\n- (y) chứng vẹo xương sống
scoliotic [01/,skɔli'ɔtik/]	[01* ttừ]\n- (y)(thuộc) chứng vẹo xương sống
scollop [01/'skɔləp/]	như [03escallop]
scolopaceous [01/,skɔlə'pei∫əs/]	[01* ttừ]\n- (thuộc) loài chim dẽ giun; giống loài chim dẽ giun
scolopacine [01/'skɔləpəsin/]	như [03scolopaceous]
scolopendrid [01/skɔlə'pendrid/]	[01* dtừ]\n- con rết
scolopendrine [01/,skɔlə'pendrin/]	[01* ttừ]\n- (thuộc) loài rết; giống con rết
scolopendrium [01/,skɔlə'pendriəm/]	như [03adder's tongue]
scomber [01/'skɔmbə/]	[01* dtừ]\n- (động vật) cá nùng nục\n- cá thu Nhật bản
scombroid [01/'skɔmbrɔid/]	[01* dtừ]\n- (động vật) họ cá thu Nhật Bản
sconce [01/skɔns/]	[01* dtừ]\n- chân đèn, đế nến\n- chân đèn có móc treo vào tường, đế nến có móc treo vào tường\n-(đùa) cái đầu, chỏm đầu\n- công sự nhỏ\n- (cổ) nơi trú ẩn; bình phong\n[01* ngđtừ]\n- (Mỹ),(qsự) đắp công sự nhỏ cho; bảo vệ bằng công sự nhỏ\n- phạt không cho uống bia (đại học Ôc-phớt)\n- (sử học) phạt vi phạm kỷ luật (ở trường đại học) 
scone [01/skɔn/]	[01* dtừ]\n- bánh nướng (uống với trà) 
scoop [01/sku:p/]	[01* dtừ]\n- cái xẻng (xúc lúa, than, tiên...)\n- cái môi dài cán; môi (đầu)\n- cái gàu múc nước (đầy)\n- sự xúc, sự múc; động tác xúc, động tác múc\n- (phẫu) cái nạo\n- môn lãi lớn (do đầu cơ)\n- (lóng) tin riêng (dành cho tờ báo nào)\n[01* ngđtừ]\n- xúc (than...), múc (nước...)\n- thu được, vớ (món lãi lớn), hốt (của...)\n- nhặt được và đăng (một tin đặc biệt, trước các bài báo khác) 
scooper [01/'sku:pə/]	[01* dtừ]\n- người múc, người xúc
scoopful [01/'sku:pfl/]	[01* dtừ]\n- xẻng (đầy)\n- môi (đầy)\n- gầu (đầy) 
scoot [01/sku:t/]	[01* nđtừ]\n- (lóng) chạy trốn, chuồn, lỉnh
scooter [01/'sku:tə/]	[01* dtừ]\n- xe hẩy (thứ xe hai bánh của trẻ con có chỗ đứng một chân, còn một chân để hẩy)\n- xe xcutơ (mô tô bánh nhỏ loại vetpa)((cũng) [03motor scooter] ) 
scopa [01/'skoupə/]	[01* dtừ] s/n [03scopae] /'skoupi:/\n- chùm lông bàn chải (ở chân ong) 
scopae [01/'skoupi:/]	như [03scopa]
scopate [01/'skoupeit/]	[01* ttừ]\n- (động vật) có chùm lông bàn chải (ở chân) 
scope [01/skoup/]	[01* dtừ]\n- phạm vi, tầm xa (kiến thức) ; dịp; nơi phát huy\n[02= that is beyond my scope] tôi không làm nổi việc đó; tôi không đủ thẩm quyền giải quyết việc đó\n[02= the job will give ample scope to his ability] làm việc đó anh ta sẽ có đất để dụng võ; làm việc đó anh ta sẽ có dịp để phát huy khả năng của mình\n[02= we must read to broaden the scope of our knowledge] chúng ta phải đọc để mở rộng kiến thức\n[02= a scope for one's energies] dịp phát huy tất cả sức lực của mình\n- (hàng hải) chiều dài dây neo (khi tàu bỏ neo)\n- (qsự) tầm tên lửa\n- (hiếm) mục tiêu, mục đích, ý định
scopiform [01/'skoupifɔ:m/]	[01* ttừ]\n- có hình chùm lông bàn chải; thành chùm bàn chải (như ở chân ong) 
scopula [01/'skɔpjulə/]	[01* dtừ] s/n [02scopulas, scopulae]\n- xem [03scopa] 
scopulate [01/'skɔpjulit/]	[01* ttừ]\n- (động vật) hình bàn chải
scorbutic [01/skɔ:'bju:tik/]	[01* ttừ]\n- (y)(thuộc) scobut\n- bị bệnh scobut\n[01* dtừ]\n- (y) người mắc bệnh scobut
scorch [01/skɔ:t∫/]	[01* dtừ]\n- sự thiêu sém, sự cháy sém\n- (lóng) sự mở hết tốc lực (ô tô, xe đạp)\n[01* ngđtừ]\n- thiêu, đốt, làm cháy sém\n- (qsự) đốt sạch phá, phá sạch, tiêu thổ\n- (Mỹ) làm đau lòng, xỉ vả làm đau lòng, đay nghiến làm đau lòng, nói mỉa làm đau lòng\n[01* nđtừ]\n- bị cháy sém\n- (lóng) mở hết tốc lực (ô tô...) 
scorched [01/skɔ:t∫t/]	[01* ttừ]\n- có cấu trúc hình kim
scorched-earth policy [01/'skɔ:t∫tə:θ'pɔlisi/]	[01* dtừ]\n- (qsự) chính sách tiêu thổ, chính sách vườn không nhà trống
scorcher [01/'skɔ:t∫ə/]	[01* dtừ]\n- ngày nóng như thiêu\n- (Mỹ) lời xỉ vả làm đau lòng, lời đay nghiến làm đau lòng, lời nói mỉa làm đau lòng\n- người lái (ô tô...) bạt mạng; người mở hết tốc lực (lái ô tô...)\n- (lóng) loại cừ, loại chiến; loại cha bố\n[02= it is a scorcher] thật là loại cha bố
scorching [01/'skɔ:t∫iη/]	[01* ttừ]\n- rất nóng, nóng cháy da, nóng như thiêu
scorch-mark [01/'skɔ:t∫'mɑ:k/]	[01* dtừ]\n- vết sém
scorchy [01/'skɔ:t∫i/]	[01* ttừ]\n- được lưu hoá sơ qua
score [01/skɔ:/]	[01* dtừ]\n- (thể thao) sổ điểm, sổ bán thắng\n[02= to make a good score] làm bàn nhiều\n- vết rạch, đường vạch\n- dấu ghi nợ\n[02= to pay one's score] trả hết nợ\n[02= death pays (quits) all scores] chết là hết nợ\n[02= to pay off old scores] (bóng) trả hết thù xưa\n- (âm nhạc) bản dàn bè\n- hai mươi, hàng hai chục; (số nhiều) nhiều\n[02= scores of people] nhiều người\n- lý do, căn cứ\n[02= the proposal was rejected on the score of absurdity] đề nghị ấy bị bác bỏ vì vô lý\n- (lóng) điều may\n[02= what a score!] thật là may mắn, thật là chó ngáp phải ruồi\n- (lóng) hành động chơi trội; lời nói áp đảo\n- (Mỹ),(tục) những sự thực, những thực tế của hoàn cảnh, những thực tế của cuộc sống\n[04! to go off at score]\n- bắt đầu hết sức sôi nổi (tranh luận một vấn đề gì mình ưa thích)\n[01* đtừ]\n- (thể thao) ghi điểm thắng\n- đạt được (thắng lợi)\n[02= to score a success] đạt được thắng lợi thành công\n- gạch, rạch, khắc, khía\n- ghi sổ nợ, đánh dấu nợ; (bóng) ghi (một mối thù)\n- lợi thế, ăn may\n[02= that is where he scores] đây là chỗ hắn ăn may\n- (âm nhạc) soạn cho dàn nhạc, phối dàn nhạc\n- (Mỹ) chỉ trích kịch liệt, đả kích\n[04! to score off]\n- (lóng) chơi trội, áp đảo
score card [01/'skɔ:kɑ:d/]	[01* dtừ]\n- (thể thao) phiếu ghi điểm
score-board [01/'skɔ:'bɔ:d/]	[01* dtừ]\n- <thể> bảng ghi tỷ số
score-card [01/'skɔ:'kɑ:d/]	như [03score card]
scored [01/skɔ:d/]	[01* ttừ]\n- bị xây cát; bị xước; không nhẵn
scorer [01/'kɔ:rə/]	[01* dtừ]\n- người ghi lại điểm (số bàn thắng) đã đạt được trong trận đấu\n- đấu thủ ghi được bàn (điểm) 
score-sheet [01/'skɔ:∫it/]	[01* dtừ]\n- xem [03score-card] 
scoria [01/'skɔ:riə/]	như [03scoriae]
scoriaceous [01/,skɔri'ei∫əs/]	[01* ttừ]\n- giống xỉ, như xỉ
scoriae [01/'skɔ:rii:/]	[01* dtừ] s/n [03scoriae]\n- xỉ
scorification [01/,skɔ:rifi'kei∫n/]	[01* dtừ]\n- sự hoá xỉ
scorify [01/'skɔ:rifai/]	[01* ngđtừ]\n- hoá xỉ
scorn [01/skɔ:n/]	[01* dtừ]\n- sự khinh bỉ, sự khinh miệt, sự khinh rẻ\n[02= to think scorn of somebody] khinh bỉ người nào\n[02= to be laughed to scorn] bị chế nhạo, bị coi khinh\n- đối tượng bị khinh bỉ\n[01* ngđtừ]\n- khinh bỉ, khinh miệt, coi khinh; không thêm\n[02= to scorn lying (a lie, to lie)] không thèm nói dối
scornful [01/'skɔ:nfl/]	[01* ttừ]\n- đầy khinh bỉ, đầy khinh miệt
scornfully [01/'skɔ:nfəli/]	[01* phtừ]\n- tỏ ra khinh bỉ; đầy khinh bỉ, đầy khinh miệt; cảm thấy bị khinh bỉ
scorpaenid [01/skɔ:'pi:nid/]	[01* dtừ]\n- xem [03scorpion-fish] 
scorpio [01/'skɔ:piou/]	[01* dtừ]\n- cung Hổ cáp; con bọ cạp (biểu tượng thứ tám của hoàng đạo)\n- (số nhiều) người sinh ra cầm tinh con bọ cạp
scorpioid [01/'skɔ:piɔid/]	[01* ttừ]\n- (thực vật) hình bọ cạp
scorpion [01/'skɔ:piən/]	[01* dtừ]\n- (động vật) con bọ cạp\n- (kinh thánh) roi co mũi sắt\n- (sử học) súng bắn đá
scorpion-fish [01/'skɔ:piən'fi∫/]	[01* dtừ]\n- (động vật) cá mũ làn
scorpius [01/'skɔ:piəs/]	[01* dtừ]\n- (thiên văn) cung bọ cạp
scorzonera [01/,skɑ:zə'niərə/]	[01* dtừ]\n- (thực vật) cây bà la môn
scot [01/skɔt/]	[01* dtừ]\n- (sử học) tiền góp, tiền thuế\n[02= to pay scot and lot] phải chịu tiền đóng góp thuế má\n[01* dtừ]\n- (Scot) người Ê-cốt
scot and lot [01/'skɔt ən 'lɔt/]	[01* dtừ]\n- thuế nhà thờ công dần Anh xưa phải nộp tùy theo khả năng
scotch [01/skɔt∫/]	[01* ttừ]\n- (Scotch)(thuộc) Ê-cốt\n[01* dtừ]\n- (the Scotch) nhân dân Ê-cốt\n- (Scotch) tiếng Ê-cốt\n- (Scotch) rượu mạnh Ê-cốt, rượu uytky Ê-cốt\n[02= Scotch and soda] rượu uytky Ê-cốt pha sô đa\n[01* dtừ]\n- đường kẻ, đường vạch (trên đất để chơi nhảy dây)\n[01* ngđtừ]\n- (cổ) khắc, khía, vạch\n- làm bị thương nhẹ\n[01* dtừ]\n- cái chèn bánh xe\n[01* ngđtừ]\n- chèn (bánh xe) lại
scotch blackface [01/'skɔt∫,blækfeis/]	[01* dtừ]\n- cừu lông dài mặt đen
scotch broth [01/'skɔt∫'brɔθ/]	[01* dtừ]\n- món hầm Ê-cốt (món thịt cừu hầm lúa mạch và rau) 
scotch cap [01/'skɔt∫'kæp/]	[01* dtừ]\n- mũ bêrê rộng của đàn ông (nhất là được đội khi mặc sắc phục của ngườu ở cao nguyên Xcốt-len) 
scotch egg [01/'skɔt∫'eg/]	[01* dtừ]\n- trứng luộc ngoài bọc thịt xúc xích
