rejectamenta [01/ri,dʒektə'mentə/]	[01* dtừ]\n- vật bỏ đi, vật bị loại\n- vật rác rưởi trôi giạt trên biển\n- cứt, phân
rejection [01/ri'dʒek∫n/]	[01* dtừ]\n- sự không chấp nhận, sự bác bỏ, sự từ chối\n- sự loại bỏ, sự loại ra\n- (số nhiều) vật bỏ đi, vật bị loại
rejection slip [01/ri'dʒek∫n'slip/]	[01* dtừ]\n- lời ghi chính thức của một biên tập viên (nhà xuất bản kèm theo một bài báo, cuốn sách) bị gạt bỏ
rejig [01/,ri:dʒig/]	[01* ngđtừ]\n- trang bị lại (cho một nhà máy) một kiểu làm việc mới\n- (tục) sắp đặt lại (kế hoạch, công việc) 
rejoice [01/ri'dʒɔis/]	[01* ngđtừ]\n- làm cho vui mừng, làm cho hoan hỉ\n[02= we are rejoiced to see him here] chúng tôi vui mừng thấy anh ta ở đây\n[02= the boy's success rejoiced his mother's heart] sự thành công của đứa trẻ làm vui lòng người mẹ\n[01* nđtừ]\n- vui mừng, hoan\n- (+[04 in]) vui hưởng (cái gì), rất hạnh phúc có được (cái gì) ;(đùa) có (cái gì)\n[02= to rejoice in something] rất hạnh phúc có được cái gì;(đùa) có (cái gì)\n- vui chơi; liên hoan, ăn mừng
rejoicing [01/ri'dʒɔisiη/]	[01* dtừ, (thường) số nhiều]\n- sự vui mừng, sự vui chơi\n- lễ ăn mừng, hội hè, liên hoan\n[01* ttừ]\n- làm vui mừng, làm vui vẻ, làm vui thích\n[02= rejoicing news] những tin vui
re-join [01/'ri:'dʤɔin/]	[01* đtừ]\n- nối lại, hàn lại, gắn lại, chấp lại
rejoin [01/ri'dʒɔin/]	[01* đtừ]\n- đáp lại, trả lời lại, cãi lại\n- (pháp lý) kháng biện\n- quay lại, trở lại (đội ngũ...)\n[02= to rejoin the colours] (qsự) trở lại quân ng
rejoinder [01/ri'dʒɔində/]	[01* dtừ]\n- lời đáp lại, lời đối đáp, lời cãi lại\n- (pháp lý) lời kháng biện
rejuvenate [01/ri'dʒu:vəneit/]	[01* ngđtừ]\n- làm trẻ lại\n[01* nđtừ]\n- trẻ lại
rejuvenation [01/ri,dʒu:və'nei∫n/]	[01* dtừ]\n- sự làm trẻ lại; sự trẻ lại
rejuvenesce [01/,ri:dʒu:vi'nes/]	[01* nđtừ]\n- trẻ lại\n- (sinh vật) trẻ ra (tế bào)\n[01* ngđtừ]\n- (sinh vật) làm trẻ lại (tế bào) 
rejuvenescence [01/,ri:dʒu:vi'nesns/]	như [03rejuvenation]
rejuvenescent [01/,ri:dʒu:vi'nesnt/]	[01* ttừ]\n- làm trẻ lại; trẻ lại
rekindle [01/,ri:'kindl/]	[01* đtừ]\n- đốt lại, thắp lại; nhen lại, nhóm lại\n[02= to rekindle a fire] nhóm lại ngọn lửa\n[02= to rekindle a war] nhóm lại ngọn lửa chiến tranh\n- kích thích, làm phấn chấn, làm phấn khởi\n[02= to rekindle someone's hopes] kích thích niềm hy vọng của ai
relabel [01/ri:'leibl/]	[01* ngđtừ]\n- dán nhãn lại, ghi nhãn lại\n- liệt lại vào loại, gán lại cho là
