sable [01/'seibl/]	[01* dtừ]\n- (động vật) chồn zibelin\n- da lông chồn zibelin\n- bút vẽ bằng lông chồn zibelin\n- (thơ ca) ; (văn học) màu đen\n- (số nhiều) áo choàng bằng lông chồn zibelin\n- (số nhiều)(thơ ca) ; (văn học) áo tang\n[01* ttừ]\n- (thơ ca) ; (văn học) đen tối, ảm đạm; thê lương\n[04! his sable Majesty]\n- ma vương
sable antelope [01/'seibl 'æntiloup/]	[01* dtừ]\n- linh dương đen (Đông phi) 
sablefish [01/'seiblfi∫/]	[01* dtừ]\n- (động vật) cá than
sabot [01/'sæbou/]	[01* dtừ]\n- guốc giày đế gỗ
sabotage [01/'sæbətɑ:ʒ/]	[01* dtừ]\n- sự phá ngầm, sự phá hoại\n[02= acts of sabotage] những hành đông phá hoại\n[01* đtừ]\n- phá ngầm, phá hoại\n- (bóng) làm hỏng, phá huỷ\n[02= to sabotage a scheme] làm hỏng một kế hoạch
saboteur [01/,sæbə'tə:/]	[01* dtừ]\n- người phá ngầm, người phá hoại
sabra [01/'sɑ:brə/]	[01* dtừ]\n- (Mỹ) người Do Thái đẻ ở Israel
sabre [01/'seibə/]	như [03saber]
sabre-rattling [01/'seibə'rættliη/]	[01* dtừ]\n- sự đe doạ (bằng cách tấn công hoặc trừng phạt) 
sabretache [01/'sæbətæ∫/]	[01* dtừ]\n- túi da đeo cạnh kiếm (của sĩ quan kỵ binh) 
sabre-toothed tiger [01/'seibə'tu:θt'taigə/]	[01* dtừ]\n- hổ răng kiếm
sabreur [01/sɑ:'brə:/]	[01* dtừ]\n- kỵ binh đeo kiếm; sĩ quan kỵ binh có vẻ hào nhoáng ((cũng) [03beau sabreur] ) 
sabulosity [01/,sæbju'lɔsiti/]	[01* dtừ]\n- tính chất nhiều cát
sabulous [01/'sæbjuləs/]	[01* ttừ]\n- (thuộc) cát\n- có cát\n- (y) dạng hạt (sỏi thận) 
sac [01/sæk/]	[01* dtừ]\n- (sinh vật) ; (y) túi, bao\n- (như) [03sack] 
sacan	- (tin) nhìn, tìm\n- automatic s. tìm tự động
saccade [01/'sæ'ka:d/]	[01* dtừ]\n- sự giật mạnh cương ngựa\n- sự di chuyển mắt đột ngột
saccate [01/'sækeit/]	[01* ttừ]\n- (sinh vật) có túi\n- phồng ra thành túi; có hình túi\n- chứa trong túi
sacchar-	- hình thái ghép có nghĩa là đường\n- saccharose\n- đường sacaroza
saccharate [01/'sækəreit/]	[01* dtừ]\n- (hoá) Sacarat
sacchari-	như [03saccharo-]
saccharic [01/sə'kærik/]	[01* ttừ]\n- (hoá) Sacaric\n[02= saccharic acid] axit sacaric
saccharide [01/'sækərid/]	[01* dtừ]\n- (hoá) Sacarit
sacchariferous [01/,sækə'rifərəs/]	[01* ttừ]\n- có chất đường, chứa đường
saccharification [01/,sækərifi'kei∫n/]	[01* dtừ]\n- (hoá) sự hoá đường
saccharify [01/sə'kærifai/]	[01* ngđtừ]\n- (hoá) đường hoá
saccharimeter [01/,sækə'rimitə/]	[01* dtừ]\n- (hoá) cái đo đường
saccharimetry [01/,sækə'rimitri/]	[01* dtừ]\n- (hoá) phép đo độ đường
saccharin [01/'sækərin/]	[01* dtừ]\n- (hoá) Sacarin
saccharine [01/'sækəri:n/]	[01* dtừ]\n- (như) [03saccharin]\n[01* ttừ]\n- (hoá) có chất đường; có tính chất đường\n-(mỉa mai) ngọt xớt, ngọt lịm, ngọt như mít lùi\n[02= a saccharine voice] giọng ngọt xớt
saccharization [01/sækərai'zei∫n/]	[01* dtừ]\n- sự đường hoá
saccharize [01/'sækəraiz/]	[01* ngđtừ]\n- đường hoá
saccharo-	- xem [03sacchar-] 
saccharogenic [01/,sækərə'dzenik/]	[01* ttừ]\n- sản sinh đường
saccharoid [01/'sækərɔid/]	[01* ttừ]\n- (địa) có hạt như đường\n[01* dtừ]\n- chất giống đường
saccharometer [01/,sækə'rɔmitə/]	[01* dtừ]\n- (hoá) máy đo độ đường
saccharose [01/'sækərous/]	[01* dtừ]\n- Sacaroza, đường
saccharum [01/'sækərəm/]	[01* dtừ]\n- đường mía
sacciform [01/'sæksifɔ:m/]	[01* ttừ]\n- hình túi
saccular [01/'sækjulə/]	[01* ttừ]\n- dạng túi
sacculated [01/'sækju,leitid/]	[01* ttừ]\n- kết túi; hình thành túi
saccule [01/'sækju:l/]	[01* dtừ]\n- (sinh vật) túi, túi nhỏ
saccus [01/'sækəs/]	[01* dtừ]\n- (động vật) túi; mảnh lõm (cánh vảy)\n- saccus lacrimalis\n- túi lệ\n- đốt bụng (của một sồ côn trùng đực) 
sacellum [01/sə'seləm/]	[01* dtừ]\n- thánh điện nhỏ
sacerdocy [01/'sæsədousi/]	[01* dtừ]\n- (hiếm) chức tăng lữ; thân thế tăng lữ; tính chất tăng lữ ((cũng) [03sacerdotalism] ) 
sacerdotage [01/,sæsə'doutidʒ/]	[01* dtừ]\n- (như) [03sacerdocy]\n- nhà nước tăng lữ (do tăng lữ lũng đoạn) 
sacerdotal [01/,sæsə'doutl/]	[01* ttừ]\n- (thuộc) tăng lữ; (thuộc) giáo chức\n- theo thuyết thần quyền tăng lữ
sacerdotalism [01/,sæsə'doutəlizəm/]	[01* dtừ]\n- (như) [03sacerdocy]\n- thuyết thần quyền tăng lữ (cho tăng lữ là có thần quyền) 
sachem [01/'seit∫əm/]	[01* dtừ]\n- tù trưởng (của một số bộ lạc dân da đỏ ở Mỹ)((cũng) [03sagamore] )\n- quan to, người tai to mặt lớn
sachet [01/'sæ∫ei/]	[01* dtừ]\n- túi nhỏ ướp nước hoa; túi bột thơm (để ướp quần áo)\n- bột thơm (đựng trong túi để ướp quần áo)((cũng) [03sachet powder] ) 
sachet powder [01/'sæ∫ei'paudə/]	[01* dtừ]\n- túi nhỏ ướp nước hoa; túi bột thơm (để ướp quần áo) 
sack [01/sæk/]	[01* dtừ]\n- bao tải\n[02= a sack of flour] bao bột\n- áo sắc (một loại áo choàng của đàn bà)\n- (Mỹ)(lóng) cái giường\n[04! to gets the sack]\n- bị đuổi, bị thải, bị cách chức\n[04! to give somebody the sack]\n- đuổi, (thải, cách chức) người nào\n[01* ngđtừ]\n- đóng vào bao tải\n- (tục) thải, cách chức\n- (tục) đánh bại, thắng\n[01* dtừ]\n- sự cướp phá, sự cướp giật\n[01* ngđtừ]\n- cướp phá, cướp bóc, cướp giật\n[01* dtừ]\n- (sử học) rượu vang trắng (Tây ban nha) 
sack-barrow [01/'sæk,bærou/]	[01* dtừ]\n- xe đẩy chở túi, bao tải
sackbut [01/'sækbʌt/]	[01* dtừ]\n- (cổ) trombon (nhạc khí) 
sackcloth [01/'sækklɔθ/]	[01* dtừ]\n- vải bao tải\n- quần áo tang; quần áo mặc khi sám hối\n[04! in sackcloth and ashes]\n- (kinh thánh) mặc áo tang và rắc tro lên đầu (để để tang hoặc sám hối)\n- để tang, sám hối ăn năn
sack-coat [01/'sæk'kout/]	[01* dtừ]\n- áo choàng ngắn (đàn ông) 
sacker [01/'sækə/]	[01* dtừ]\n- kẻ cướp bóc, kẻ cướp giật\n- người nhồi bao tải
