patro-	như [03patri-]
pay	[01* ngđtừ] [03paid] /peid/\n- trả (tiền lương...) ; nộp, thanh toán\n[02= to high wages] trả lương cao\n[02= to pay somebody] trả tiền ai\n[02= to pay a sum] trả một số tiền\n[02= to pay one's debt] trả nợ, thanh toán nợ\n[02= to pay taxes] nộp thuế\n- (bóng) trả công, thưởng, đền đáp lại\n- dành cho; đến (thăm...) ; ngỏ (lời khen...)\n[02= to pay a visit] đến thăm\n[02= to pay one's respects to someone] đến chào ai\n[02= to pay someone a compliment] ngỏ lời khen ngợi, ca tụng ai\n[02= to pay attention to] chú ý tới\n- cho (lãi...), mang (lợi...)\n[02= it pays six per cent] món đó cho sáu phần trăm lãi\n[01* nđtừ]\n- trả tiền\n- (+[04 for])(bóng) phải trả giá đắt, phải chịu hậu quả\n[02= he shall pay for it] hắn sẽ phải trả giá đắt về việc đó\n- có lợi; mang lợi, sinh lợi\n[02= this concern does not pay] công việc kinh doanh chẳng lợi lộc gì\n[04! to pay away]\n- trả hết, thanh toán, trang trải\n- (hàng hải) thả (dây chuyền...)\n[04! to pay back]\n- trả lại, hoàn lại\n[04! to pay down]\n- trả tiền mặt\n[04! to pay in]\n- nộp tiền\n[04! to pay off]\n- thanh toán, trang trải\n- trả hết lương rồi cho thôi việc\n- giáng trả, trả đũa, trả thù\n- cho kết quả, mang lại kết quả\n- (hàng hải) đi né về phía dưới gió (tàu, thuyền)\n[04! to pay out]\n- (như) [03to pay away]\n- trả thù, trừng phạt (ai)\n[04! to pay up]\n- trả hết, thanh toán, trang trải, xuỳ tiền ra\n[04! to pay someone in his own coin]\n- xem [03coin]\n[04! to pay through the nose]\n- xem [03nose]\n[04! he who pays the piper calls the tume]\n- ai trả tiền thì người ấy có quyền\n[04! to pay one's way]\n- không mang công việc mắc nợ\n[04! to pay for one's whistle]\n- phải trả giá đắt về cái tính ngông cuồng của mình\n[01* ngđtừ]\n- sơn, quét hắc ín
pay dirt [01/'peidə:t/]	[01* dtừ]\n- (Mỹ) đất chứa nhiều quặng (làm cho việc khai thác mỏ có thể lời) 
pay load [01/pei/]	[01* dtừ]\n- trọng tải (máy bay, tàu...)\n- lượng chất nổ (đầu tên lửa) 
pay off [01/'peiɔ:f/]	[01* dtừ]\n-(tục) hối lộ (ai) ; sự thưởng phạt; đỉnh cao (của một sự kiện, một cầu chuyện) 
pay phone [01/'peifoun/]	[01* dtừ]\n- (Mỹ) điện thoại tự động
payable [01/'peiəbl/]	[01* ttừ]\n- có thể trả, phải trả\n[02= payable to bearer] trả cho người cầm giấy\n- có lợi
pay-as-you-earn [01/,pei əz ju 'ə:n/]	[01* dtừ]\n- (vt) PAYE\n- như [03PAYE] 
pay-as-you-enter [01/,pei æz ju: 'entə/]	[01* dtừ]\n- chế độ bước vào trả tiền ngay (tàu điện) 
payback [01/'peibæk/]	[01* dtừ]\n- lợi tức thu được từ một cuộc đầu tư
pay-bed [01/'peibed/]	[01* dtừ]\n- tiền giừơng (bệnh viện) 
pay-bill [01/'peibil/]	như [03pay-list]
pay-box [01/'peibɔks/]	[01* dtừ]\n- nơi trả tiền, ghi sê
pay-claim [01/'peikleim/]	[01* dtừ]\n- yêu sách tăng lương
pay-day [01/'peidei/]	[01* dtừ]\n- ngày trả tiền, ngày phát lương\n- ngày thanh toán (ở thị trường chứng khoán) 
pay-desk [01/'peidesk/]	[01* dtừ]\n- nơi trả tiền, nơi trả lương
paye [01/,pi: ei wai 'i:/]	[01* dtừ]\n- vt của [03pay-as-you-earn] (cách đánh thuế theo thu nhập) 
payee [01/pei'i:/]	[01* dtừ]\n- người được trả tiền
pay-envelope [01/'pei,enviloup/]	[01* dtừ]\n- phong bì tiền lương
payer [01/'peiə/]	[01* dtừ]\n- người trả tiền
paying capacity [01/,peiηkə'pæsiti/]	[01* dtừ]\n- khả năng thanh toán
paying guest [01/'peiηgest/]	[01* dtừ]\n- khách ở trọ (người sống ở nhà, trả tiền ăn tiền trọ) 
pay-list [01/'peilist/]	[01* dtừ]\n- bảng lương
payload [01/'peiloud/]	[01* dtừ]\n- trọng tải trả tiền (khách hàng, hàng vận chuyển)\n- lượng chất nổ (đầu tên lửa)\n- trọng tải (thiết bị mang theo một vệ tinh, con tàu vũ trụ) 
pay-load [01/'peiloud/]	[01* dtừ]\n- trọng tải (máy bay, tàu)\n- lượng chất nổ (đầu tên lửa)\n- lượng dụng cụ, máy móc tàu vũ trụ mang theo
paymaster [01/'pei,mɑ:stə/]	[01* dtừ]\n- người phát lương
paymaster general [01/,pei,ma:stə 'dʒenərəl/]	[01* dtừ]\n- (Paymaster General) +bộ trưởng Kho bạc Nhà nước
payment [01/'peimənt/]	[01* dtừ]\n- sự trả tiền, sự nộp tiền; số tiền trả\n[02= payment received] đã nhận đủ số tiền\n- (bóng) việc trả công, việc thưởng phạt
paynim [01/'peinim/]	[01* dtừ]\n- (cổ) người dị giáo, người tà giáo
pay-off [01/'peiɔf/]	[01* dtừ]\n- (Mỹ) sự trả lương, sự trả tiền\n- kỳ trả lương, kỳ trả tiền\n- sự thưởng phạt\n- phần, tỷ lệ phần trăm
pay-office [01/'pei,ɔfis/]	như [03pay-desk]
payola [01/pei'oulə/]	[01* dtừ]\n- tiền trích thưởng\n- tiền hối lộ
pay-out [01/'peiaut/]	[01* dtừ]\n- sự trả tiền, sự trả lương
pay-packet [01/,pei'pækit/]	[01* dtừ]\n- phong bì đựng tiền lương của nhân viên
payroll [01/'peiroul/]	[01* dtừ]\n- bảng lương\n- tổng số tiền phải trả cho nhân viên (trong công ty) 
pay-roll [01/'peiroul/]	[01* dtừ]\n- (như) [03pay-sheet]\n- số tiền trả cho những người trong bảng lương
paysage [01/pei'zɑ:dʒ/]	như [03pâté]
pay-sheet [01/'pei∫i:t/]	như [03pay-list]
pay-slip [01/'peislip/]	[01* dtừ]\n- phiếu trả lương
pay-station [01/'peistei∫n/]	[01* dtừ]\n- trạm điện thoại tự động
PC [01/,pi:'si:/]	- (vt của [03Personal Computer] ) máy tính cá nhân
PCM [01/'pi;si:em/]	- điều biến mã xung
pcx	- Đuôi mở rộng của tệp tin để chỉ rõ đó là loại tệp có chứa một đồ hình theo khuôn thức tệp đồ họa PCX, đầu tiên được xây dựng cho chương trình PC Paintbrush nhưng hiện nay được dùng rộng rãi trong các trình ứng dụng khác
pd	[01* dtừ]\n- (vt của [03paid] ) đã trả tiền
pda	- máy trợ lý cá nhân dùng kỹ thuật số
Pde [01/,pi: di: 'i:/]	[01* dtừ]\n- vt của [03parade] (trong các tên phố) 
pdl	- ngôn ngữ mô tả trang
pdn	- mạng dữ liệu công cộng
PDSA [01/,pi: di: es 'ei/]	[01* dtừ(PDSA)]\n- vt của [03People's Dispensary for Sick Animals] (phòng khám bệnh, phát thuốc chữa trị cho súc vật) 
PDT [01/,pi: di: 'ti:/]	[01* dtừ]\n- (Mỹ) vt của [03Pacific Daylight Time] (giờ ban ngày khu vực Thái Bình Dương) 
PE [01/,pi: 'i:/]	[01* dtừ]\n- vt của [03physical education] (thể dục) 
pea [01/pi:/]	[01* dtừ]\n- (thực vật) đậu Hà-lan; đậu\n[02= green peas] đậu Hà-lan còn non\n[02= split peas] đậu hạt (đã bỏ vỏ quả đi)\n[04! as like as two peas]\n- xem [03like] 
pea coal [01/'pi:koul/]	[01* dtừ]\n- than hột
pea green [01/'pi:koul/]	[01* dtừ]\n- màu lục hạt đậu
pea soup [01/'pi:'su:p/]	[01* dtừ]\n- xúp đậu\n- (tục) sương mù dày đặc vàng khè ((cũng) [03pea-souper] ) 
peace [01/pi:s/]	[01* dtừ]\n- hoà bình, thái bình, sự hoà thuận\n[02= at peace with] trong tình trạng hoà bình; hoà thuận với\n[02= peace with honour] hoà bình trong danh dự\n[02= to make peace] dàn hoà\n[02= to make one's peace with somebody] làm lành với ai\n[02= to make someone's peace with another] giải hoà ai với ai\n- ((thường) Peace) hoà ước\n- sự yên ổn, sự trật tự an ninh\n[02= the (king's) peace] sự yên bình, sự an cư lạc nghiệp\n[02= to keep the peace] giữ trật tự an ninh\n[02= to break the peace] việc phá rối trật tự\n- sự yên lặng, sự yên tĩnh; sự an tâm\n[02= peace of mind] sự yên tĩnh trong tâm hồn\n[02= to hold one's peace] lặng yên không nói
peace camp [01/'pi:skæm/]	[01* dtừ]\n- trại dựng lên để phản đối chiến tranh
Peace Corps [01/'pi:s kɔ:ps/]	[01* dtừ]\n-Tổ chức Hoà bình Mỹ
peace offering [01/'pi:sɔfəriη/]	[01* dtừ]\n- đồ lễ để cầu hoà, đồ lễ để chuộc tội\n- (tôn giáo) đồ lễ tạ ơn Chúaa
peaceable [01/'pi:səbl/]	[01* ttừ]\n- yêu hoà bình\n- thích yên tĩnh\n- yên ổn; thái bình
peaceableness	như [03peaceably]
peaceably	- xem [03peaceable] 
peace-breaker [01/'pi:sbreikə/]	[01* dtừ]\n- kẻ phá hoại sự yên ổn
peaceful [01/'pi:sfl/]	[01* ttừ]\n- hoà bình, thái bình\n[02= peaceful coexistence] sự chung sống hoà bình\n- yên ổn, thanh bình\n- yên lặng
peacefully [01/'pi:sfəli/]	[01* phtừ]\n- (thuộc) hoà bình, thái bình\n- một cánh thanh thản, yên tựnh
peacefulness [01/'pi:sfəlnis/]	[01* dtừ]\n- sự hoà bình, tình trạng hoà bình, thái bình\n- sự thanh thản, yên tựnh
peacekeeper [01/'pi:s,ki:pə/]	[01* dtừ]\n- người bảo vệ hoà bình; quân nhân trong lực lượng gìn giữ hoà bình của Liên hiệp quốc
peacekeeping [01/'pi:s,ki:piη/]	[01* dtừ]\n- sự gìn giữ/duy trì hoà bình; sự bảo vệ hoà bình\n[02= UN peacekeeping forces] Lực lượng gìn giữ hoà bình Liên hiệp quốc
peacelove [01/'pi:s,lʌvə/]	- xem [03peace-love] 
peace-love [01/'pi:s,lʌvə/]	[01* dtừ]\n- người yêu chuộng hòa bình
peace-lover [01/'pi:s,lʌvə/]	[01* dtừ]\n- người yêu chuộng hoà bình
peace-loving [01/,pi:s'lʌviη/]	[01* ttừ]\n- yêu chuộng hoà bình
peacemaker [01/'pi:s,meikə/]	[01* dtừ]\n- người hoà giải\n-(đùa) súng lục\n-(đùa) tàu chiến
peacemaking	- xem [03peacemaker] 
peace-offering [01/'pi:s,ɔfəriɳ/]	[01* dtừ]\n- đồ lễ để cầu hoà, đồ lễ để chuộc tội\n- (tôn giáo) đồ lễ tạ ơn Chúa
peace-officer [01/'pi:s,ɔfisə/]	[01* dtừ]\n- nhân viên trật tự trị an, công an, cảnh sát
peace-pipe [01/'pi:spaip/]	[01* dtừ]\n- ống điếu hoà bình (của người da đỏ Mỹ) 
peace-sign [01/'pi:,sain/]	[01* dtừ]\n- dấu hiệu hoà bình (giơ hai ngón tay thành hình chữ V) 
peacetime [01/'pi:staim/]	như [03peace-time]
peace-time [01/'pi:staim/]	[01* dtừ]\n- thời bình
peach [01/pi:t∫/]	[01* dtừ]\n- quả đào\n- (thực vật) cây đào ((cũng) [03peach tree] )\n- (lóng) tuyệt phẩm; cô gái rất có duyên\n[01* nđtừ]\n- (lóng) mách lẻo, tâu, hót
peach melba [01/'pi:st∫mæbə/]	[01* dtừ]\n- (peach Melba) kem trái đào (món ăn tráng miệng gồm kem, đào và nước xốt quả mâm xôi)
peach-blossom [01/pi:t∫'blɔsəm/]	[01* dtừ]\n- hoa đào
peach-blow [01/'pi:t∫blou/]	[01* dtừ]\n- màu hoa đào\n- men (màu) hoa đào (đồ sứ) 
peach-brandy [01/,pi:t∫'brændi/]	[01* dtừ]\n- rượu đào
peach-colour [01/,pi:t∫'kʌlə(r) /]	[01* dtừ]\n- màu hoa đào
peach-coloured [01/,pi:t∫'kʌləd/]	[01* ttừ]\n- có màu hoa đào
peachick [01/'pi:t∫ik/]	[01* dtừ]\n- chim công non
pea-chick [01/'pi:t∫ik/]	[01* dtừ]\n- (động vật) con công con
peachiness	- xem [03peachy] 
peachs and cream [01/'pi:t∫z ənd kri:m/]	[01* dtừ]\n- thường có màu hồng hấp dẫn
peach-tree [01/'pi:t∫tri:/]	[01* dtừ]\n- (thực vật) cây đào
peachy [01/'pi:t∫i/]	[01* ttừ]\n- mơn mởn đào tơ
pea-coat [01/'pi:kout/]	như [03pea-jacket]
peacock [01/'pi:kɔk/]	[01* dtừ]\n- (động vật) con công (trống)\n[02= pround as a peacock] vênh vang như con công\n[01* nđtừ]\n- vênh vang; đi vênh vang; làm bộ làm tịch, khoe mẽ\n[01* ngđtừ]\n- to peacock oneself upon vênh vang; làm bộ làm tịch về, khoe mẽ (cái gì) 
peacock blue [01/'pi:kɔk'blu:/]	[01* dtừ]\n- màu biếc cánh trả
peacock-blue	- xem [03peacock blue] 
peacockery [01/'pi:kɔkəri/]	[01* dtừ]\n- thái độ vênh vang, thái độ làm bộ làm tịch, thái độ khoe mẽ
peacockish	như [03peacocky]
peacocky	- xem [03peacock] 
peafowl [01/'pi:faul/]	[01* dtừ]\n- (động vật) con công (trống hoặc mái) 
pea-green [01/'pi:gri:n/]	[01* ttừ]\n- màu lục hạt đậu
peahen [01/'pi:hen/]	[01* dtừ]\n- (động vật) con công (mái) 
