bull's eye [01/'bulzai/]	[01* dtừ]\n- điểm đen (điểm giữa của bia)\n[02= to hit the bull's_eye] bắn trúng điểm đen\n- cửa sổ tròn (ở tàu thuỷ)\n- thấu kính bán cầu\n- đèn ló\n- kẹo bi
bullshit [01/'bul∫it/]	[01* dtừ]\n- chuyện phiếm, chuyện nhảm nhí
bullshitter	- xem [03bullshit] 
bullswool [01/'bulz, wul/]	[01* dtừ]\n- điều vô nghĩa lý
bull-terrier [01/'bul,teriə/]	[01* dtừ]\n- giống chó lai giữa chó bun và chó sục
bullwhip [01/'bul, wip/]	[01* dtừ]\n- cái roi đầu buộc miếng da dài
bully [01/'buli/]	[01* dtừ]\n- (tục)(như) [03bully_beef]\n[01* dtừ]\n- kẻ hay bắt nạt (ở trường học)\n[02= to play the bully] bắt nạt\n- kẻ khoác lác\n- du côn đánh thuê, tên ác ôn\n- ma cô; lưu manh ăn bám gái điếm\n[01* ngđtừ]\n- bắt nạt, trêu chọc; áp bức, khủng bố\n[02= to bully someone into doing something] bắt nạt ai phải làm gì\n[01* ttừ]\n- (Mỹ),(tục) xuất sắc, cừ\n[01* thán từ]\n- (Mỹ),(tục) bully for you! hoan hô!
bully beef [01/'buli'bi:f/]	[01* dtừ]\n- thịt bò ướp
bully-boy [01/'buli'bɔi/]	như [03hit man]
bullyrag [01/'buliræg/]	như [03ballyrag]
bulrush [01/'bulrʌ∫/]	[01* dtừ]\n- (thực vật) cây hương bồ, cây cỏ nến\n- (Mỹ) cây bấc\n- (kinh thánh) cây cỏ chỉ
bulwark [01/'bulwək/]	[01* dtừ]\n- bức tường thành\n- đê chắn sóng\n- (hàng hải) thành tàu (xung quanh sàn tàu)\n- lực lượng bảo vệ; người bảo vệ; nguyên tắc bảo vệ\n[02= the bulwark of the State] lực lượng bảo vệ nhà nước
bum [01/bʌm/]	[01* dtừ]\n- phía sau, đằng sau\n- mông đít\n- (pháp lý) nhân viên chấp hành ((cũng) [03bum bailiff] )\n[01* dtừ]\n- (Mỹ),(lóng) kẻ vô công rồi nghề, kẻ lười biếng; kẻ ăn bám\n[04! to be on the bum]\n- đi lang thang vô công rồi nghề; ăn bám\n- lộn xộn, rối loạn\n[02= his nerves are on the bum] hắn ta rối loạn thần kinh\n[04! to go on the bum]\n- ăn bám\n[01* ttừ]\n- (Mỹ),(lóng) tồi, vô giá trị, hạng bét\n[01* đtừ]\n- (Mỹ),(lóng) làm biếng, đi lang thang vơ vẩn, vô công rồi nghề; ăn bám\n- bòn rút, xin xỏ được
bumbailiff [01/'bʌm,beilif/]	[01* dtừ]\n- nhân viên chấp hành của toá án
bumble [01/'bʌmbl/]	[01* dtừ]\n- (như) [03beadle]\n- công chức nhỏ vênh vang tự mãn
bumble-bee [01/'bʌmbl'bi:/]	như [03humble-bee]
bumbledom [01/'bʌmbldəm/]	[01* dtừ]\n- thói vênh vang tự mãn (của công chức nhỏ) 
bumble-puppy [01/'bʌmblpʌpi/]	[01* dtừ]\n- lối đánh bài ăn gian
