retroflected [01/,retrə'flektid/]	[01* ttừ]\n- gập ra phía sau
retroflex [01/,retrə'fleks/]	như [03retroflected]
retroflexed [01/'retrəflekst/]	như [03retroflected]
retroflexion [01/,retrou'flek∫n/]	[01* dtừ]\n- tình trạng gập ra phía sau\n[02= retroflexion of the uterus] chứng dạ con gập ra phía sau
retrogradation [01/,retrəgrə'dei∫n/]	[01* dtừ] ((cũng) [03retrogression] )\n- (thiên văn) sự đi ngược, sự nghịch hành (của một hành tinh)\n- tác dụng giảm lùi\n- (qsự) sự rút lui
retrograde [01/'retrougreid/]	như [03retrogressive]
retrogress [01/,retrə'gres/]	[01* nđtừ]\n- đi giật lùi, đi ngược lại\n- suy yếu, trở nên xấu đi
retrogression [01/,retrə'gres∫n/]	[01* dtừ]\n- (như) [03retrogradation]\n- sự lùi lại, sự giật lùi, sự đi ngược lại\n- sự suy yếu, sự trở thành xấu hơn
retrogressive [01/,retrə'gresiv/]	[01* ttừ] [03retrogressive] /,retrou'gresiv/\n- lùi lại, thụt lùi\n- thoái hoá, suy đồi\n- (thiên văn) đi ngược, đi nghịch hành (hành tinh)\n- ngược, nghịch\n[02= in retrograde order] theo thứ tự đảo ngược\n- (qsự) rút lui, rút chạy\n[01* dtừ]\n- (hiếm) người thoái hoá, người suy đồi, người lạc hậu\n- khuynh hướng lạc hậu\n[01* nđtừ]\n- đi giật lùi, lùi lại\n- (thiên văn) đi ngược, đi nghịch hành (hành tinh)\n- thoái hoá, suy đồi\n- (qsự) rút lui, rút chạy
retrogressively [01/,retrə'gresivli/]	[01* phtừ]\n- lùi lại, thụt lùi\n- thoái hoá, suy đồi\n- <thvăn> đi ngược, đi nghịch hành (hành tinh)\n- ngược, nghịch\n- (qsự) rút lui, rút chạy
retroinsular [01/,retrou'insjulə/]	[01* ttừ]\n- sau đảo
retroiridian	[01* ttừ]\n- sau mống mắt
retroject [01/,retrou'dʒkt/]	[01* ngđtừ]\n- lao mình về phía sau
retrolingual [01/retrou'liηgwəl/]	[01* ttừ]\n- sau lưỡi
retromandibular [01/retroumæn'dibjulə/]	[01* ttừ]\n- sau hàm dưới
retromorphosis [01/retrou'mɔ:fəsis/]	[01* dtừ]\n- sự nghịch biến, sự thoái biến
retronasal [01/retrou'neizəl/]	[01* ttừ]\n- sau mũi
