soft porn [01/'sɔft'pɔ:n/]	[01* dtừ]\n- sách báo khiêu dâm loại ít lộ liễu, ít dữ dội
soft roe [01/'sɔft'rou/]	[01* dtừ]\n- sẹ, tinh dịch cá đực
soft sawder [01/'sɔft'sɔ:də/]	[01* dtừ]\n- lời khen, lời tán tụng
soft sell [01/'sɔft'sel/]	[01* dtừ]\n- cách dùng lời thuyết phục để bán hàng
soft shell [01/'sɔft,∫el/]	- Cách viết khác: soft-shelled)\n[01* ttừ]\n- có vỏ (mai) mềm
soft shoulder [01/'sɔft'∫ouldə/]	[01* dtừ]\n- bờ yếu của ven đường không thích hợp cho xe cộ chạy trên đó
soft soap [01/'sɔft'soup/]	[01* dtừ]\n- xà phòng mềm\n- (tục) lời nịnh hót; lời phủ dụ, lời xoa dịu\n[01* ngđtừ]\n- xát xà phòng mềm vào\n- (tục) nịnh hót; phủ dụ, xoa dịu
soft tack [01/'sɔft'tæk/]	[01* dtừ]\n- (hàng hải) bánh mì (đối lại với bánh khô) 
soft target [01/,sɒft'ta:git/]	[01* dtừ]\n- người dễ siêu lòng, điều dễ đạt được
softa [01/'sɔftə/]	[01* dtừ]\n- nhà nghiên cứu thần học (Thổ nhĩ kỳ) 
softball [01/'sɔftbɔ:l/]	[01* dtừ]\n- (Mỹ) trò chơi tương tự như bóng chày, chơi trên sân nhỏ hơn với quả bóng mềm to hơn
soft-boil [01/,sɔft'bɔil/]	[01* ngđtừ]\n- luộc trứng lòng đào
soft-boiled [01/'sɔft'bɔild/]	[01* ttừ]\n- luộc lòng đào (trứng) 
soft-bound [01/'sɔft,bound/]	[01* ttừ]\n- đóng bìa mềm (sách) 
soft-chancre [01/'sɔlt'∫æηkə/]	[01* dtừ]\n- (y) bệnh hạ cam
soft-coal [01/,sɔlt'koul/]	[01* dtừ]\n- than đá cháy chậm
soft-currency [01/,sɔft'kʌrənsi/]	[01* dtừ]\n- tiền không đổi được (khó đổi được) thành vàng; thành tiền
soft-drink [01/,sɔft'driηk/]	[01* dtừ]\n- nước uống ngọt không có rượu
soften [01/'sɔfn/]	[01* ngđtừ]\n- làm cho mềm, làm cho dẻo\n- làm cho dịu đi\n[02= curtains that soften the light] màn che ánh sáng dịu bớt\n- làm cho yếu đi, làm nhụt\n[02= to soften someone's will] làm yếu quyết tâm của ai\n[01* nđtừ]\n- mềm đi\n- yếu đi, dịu đi\n- trở thành uỷ mị, trở thành ẻo lả\n[02= to soften at the sight of something] mủi lòng khi nhìn thấy cái gì
softener [01/'sɔfnə/]	[01* dtừ]\n- thuốc làm mềm, chất làm mềm\n- máy khử muối khoáng (của nước) 
softening [01/'sɔfniη/]	[01* dtừ]\n- sự làm mềm; sự hoá mềm\n- (ngôn) sự mềm hoá\n[04! softening of the brain]\n- sự thoái hoá mỡ của não\n- tình trạng hoá lẩm cẩm (của người già) 
