dc1 4	115-21854-B
deck cargo	117-15381-B
deck chair	117-15449-B
deck hand	117-15770-B
deck house	117-15841-B
deck landing	117-15141-B
deck light	117-16221-B
deck passenger	117-16280-B
decked	482-14637-S
decker	117-15573-B,138-5164-S,313-10685-S,421-17791-S,468-2502-S
decking	117-15899-B
deckle	117-15999-B
deckle edge	117-16082-B
deckle edged	117-16149-B
declaim	117-16358-B
declaimer	117-16593-B
declamation	117-16711-B
declamatory	117-16916-B
declarable	117-17063-B
declarant	117-17093-B
declaration	117-17164-B,103-15394-S,168-11979-S
declarative	117-17631-B
declaratively	117-17734-B
declarator	29-22912-S
declaratory	117-17771-B
declare	117-17866-B
declared	117-18692-B
declarer	117-18774-B
declass	117-18803-B
declasse	117-18924-B
declassed	117-19158-B
declassifiable	117-19277-B
declassification	117-19314-B
declassify	117-19422-B
declension	117-19587-B
declensional	117-19828-B
declinable	117-19863-B
declination	117-19939-B,279-295-S
declinational	117-20202-B
declinator	117-20239-B
declinatory	117-20291-B
decline	117-20382-B
decliner	117-21528-B
declining	117-21556-B
declinometer	117-21693-B
declivitous	117-21770-B
declivity	117-21822-B
declivous	117-21885-B
declutch	117-21953-B,138-5309-S
deco	30-2943-S
decoct	117-22030-B
decoction	117-22090-B
decode	117-22173-B
decoded	117-22248-B
decoder	117-22310-B,197-7754-S
decohere	117-22443-B
decoke	117-22623-B
decollate	117-22768-B
decollation	117-22839-B
decollator	117-22924-B
decollete	117-22956-B
decolonise	117-23008-B
decolonization	117-23077-B
decolonize	117-23210-B
