side [01/said/]	[01* dtừ]\n- mặt, bên\n[02= a cube has six sides] hình khối có sáu mặt\n[02= two sides of house] hai bên cạnh nhà\n[02= two sides of sheet of paper] hai mặt của tờ giấy\n[02= the right side of cloth] mặt phải của vải\n[02= the seamy side of life] mặt trái của cuộc đời\n- (toán) bề, cạnh\n[02= opposite sides of a parallelogram] hai cạnh đối nhau của một hình bình hành\n- triền núi; bìa rừng\n- sườn, lườn\n[02= side of mutton] sườn cừu\n[02= to fight side by side] sát cánh chiến đấu\n- phía, bên\n[02= the right side] phía bên phải\n[02= the debit side] bên nợ\n[02= the credit side] bên có\n- phần bên cạnh, phần phụ\n[02= side of road] bên cạnh đường\n- khía cạnh\n[02= to study all sides of the question] nghiên cứu mọi khía cạnh của vấn đề\n- phe, phái, phía\n[02= to take sides with somebody; to take the sides of somebody] về phe với ai\n[02= justice is on our side] chúng ta có chính nghĩa\n[02= there is much to be said on both sides] cả hai phe đều có nhiều vấn đề cần nói\n[02= the winning side] phe thắng\n- bên (nội, ngoại)\n[02= on the maternal side] bên ngoại\n[04! born on the wrong side of the blanket]\n- xem [03blanket]\n[04! to be on the right side of forty]\n- dưới bốn mươi tuổi\n[04! to be on the wrong side of forty]\n- trên bốn mươi tuổi\n[04! to be on this side of grave]\n- hãy còn sống\n[04! to be on the wrong side of the door]\n- bị nhốt ở ngoài\n[04! to look on the bright side of everything]\n- lạc quan\n[04! to put on side]\n- lên mặt, làm bộ làm tịch\n[04! prices are on the high side]\n- giá vẫn cao\n[04! to shake one's side]\n- cười vỡ bụng\n[01* nđtừ]\n- (+[04 with]) đứng về phe, đứng về phía; ủng hộ
side by side [01/'said bai 'said/]	- sát bên nhau, mặt hướng về cùng một phía; sát cánh; bên nhau\n[02= two children always walk side by side] hai đứa trẻ luôn đi bên nhau
side meat [01/'said'mi:t/]	như [03side meate]
side meate [01/'said'mi:t/]	[01* dtừ]\n- thịt sườn
side order [01/'said'ɔ:də/]	[01* dtừ]\n- (Mỹ) món ăn dọn cho một người thêm vào món ăn chính và trên một đựa riêng
side table [01/'said,teibl/]	[01* dtừ]\n- bàn để sát tường khác bàn chính
side-arms [01/'said'ɑ:mz/]	[01* dtừ s/n]\n- vũ khí đeo cạnh sườn (gươm, lưỡi lê, dao găm, súng lục...) 
side-bet [01/'said'bet/]	[01* dtừ]\n- cược phụ, cược riêng
sideboard [01/'saidbɔ:d/]	[01* dtừ]\n- tủ búp phê, tủ đựng bát đĩa\n- ván cạnh, ván bên\n[02= the sideboards of a waggon] những tấm ván bên của toa xe\n- (số nhiều)(lóng) tóc mai dài
sidebone [01/'saidboun/]	[01* dtừ]\n- xương chậu
sideburns [01/'saidbə:nz/]	[01* dtừ s/n]\n- tóc mai dài
side-car [01/'said'kɑ:/]	[01* dtừ]\n- thùng (của mô tô thùng) 
side-chapel [01/'said't∫æpəl/]	[01* dtừ]\n- nhà thờ phụ; miếu thờ
sided [01/'saidid/]	[01* ttừ]\n- (trong ttừ ghép) có một số hoặc loại cạnh được nói rõ
side-dish [01/'said'di∫/]	[01* dtừ]\n- món ăn thêm (thường là một món đặc biệt) 
side-door [01/'said dɔ:/]	[01* dtừ]\n- cửa phụ
side-dress [01/'saiddres/]	[01* ngđtừ]\n- bón phân cạnh rễ cây\n[01* dtừ]\n- bón phân cạnh rễ cây\n- cách bón phân cạnh rễ cây
side-drum [01/'said'drʌm/]	[01* dtừ]\n- trống đeo (đeo cạnh sườn mà đánh) 
side-effect [01/'said i'fekt/]	[01* dtừ]\n- tác dụng, tác động thứ yếu (thường khó chịu hoặc không muốn có, của một thứ thuốc) 
side-glance [01/'said,gla:ns/]	[01* dtừ]\n- cái nhìn nghiêng
side-hill [01/'said,hil/]	như [03hillside]
side-issue [01/'said'isju:/]	[01* dtừ]\n- vấn đề phụ (vấn đề kém quan trọng hơn vấn đề chính) 
side-kick [01/'saidkik/]	[01* dtừ]\n- (Mỹ),(lóng) bạn nối khố, bạn tri kỷ\n- người cộng tác, người đồng mưu
sidekick [01/'said'kik/]	[01* dtừ]\n- (Mỹ)(tục) bạn nối khố; bạn tri kỷ; người cộng tác, người đồng mưu
sidelight [01/'saidlait/]	[01* dtừ]\n- (sân khấu) ánh sáng bên, đèn bên (từ hai bên cánh gà trên sân khấu)\n- thí dụ phụ; sự minh hoạ phụ\n- (hàng hải) đèn hiệu (đèn đỏ ở bên trái hay đèn xanh ở bên phải tàu, để báo hiệu lúc đi đêm) 
sideline [01/'saidlain/]	[01* ngđtừ]\n- cho ra ngoài, cho ra ngoài lề (không được tham gia vào cuộc đấu...)\n[02= he was sidelined by his injury] anh ấy bị thương phải cho ra ngoài
side-line [01/'saidlain/]	[01* dtừ]\n- (thể thao) đường biên\n- (số nhiều) khu vực ngoài đường biên (cho khán giả ngồi)\n- đường phụ, đường nhánh (đường sắt, đường ống dẫn...)\n- nghề phụ, nghề tay trái
sideling [01/'saidliη/]	[01* ttừ]\n- nghiêng, xiên về một bên\n- không thẳng thắn, lén lút\n[02= a sideling approach] sự lén lút đến gần
sidelong [01/'saidlɔη/]	[01* ttừ]\n- ở bên; xiên về phía bên\n- lé\n[02= to cast a sidelong glance at someone] lé nhìn người nào, liếc trộm người nào\n- cạnh khoé; bóng gió\n[02= a sidelong remark] lời nhận xét bóng gió, lời nói cạnh\n[01* phtừ]\n- ở bên, xiên về phía bên\n[02= to move sidelong] đi xiên
sideman [01/'saidmən/]	[01* dtừ]\n- người trong đoàn nhạc nhưng ở phía ngoài
side-note [01/'said'nout/]	[01* dtừ]\n- lời chú giải ở lề
side-on [01/'said'ɔn/]	[01* phtừ]\n- sườn, hông; với bên cạnh của cái gì hướng về cái gì khác
sidepiece [01/'said,pi:s/]	[01* dtừ]\n- bộ phận ở bên cạnh
sider- [01/'saidə/]	- hình thái ghép\n- sắt\n[02= siderography] thuật khắc trên sắt
sidereal [01/sai'diəriəl/]	[01* ttừ]\n- (thuộc) sao\n- thiên văn\n[02= sidereal day] ngày thiên văn\n[02= sidereal year] năm thiên văn
sidereal day [01/sai'diəriəl dei/]	[01* dtừ]\n- thời gian quay của trái đất quanh trục của nó xét từ một định tinh (23 giờ 56 phút 4, 09 giầy của ngày bình (thường)) 
sidereal hour [01/sai'diəriəl auə/]	[01* dtừ]\n- một phần 24 của sidereal day
sidereal minute [01/sai'diəriəl minit/]	[01* dtừ]\n- một phần 60 của một sidereal hour đo từ một định tinh
sidereal second [01/sai'diəriəl sekənd/]	[01* dtừ]\n- một phần 60 của sidereal minute
sidereal year [01/sai'diəriəl jə:/]	[01* dtừ]\n- thời gian quả đất quay quanh mặt trời đo từ một định tinh (365 ngày 6 giờ 4 phút 9, 45 giầy thời gian bình thường) 
sidero-	- xem [03sider-] 
side-road [01/'said'roud/]	[01* dtừ]\n- đường phụ
siderography [01/,sidə'ɔgrəfi/]	[01* dtừ]\n- thuật khắc (trên) sắt, thuật khắc (trên) thép
siderolite [01/'saidərəlait/]	[01* dtừ]\n- (khoáng vật học) vân thạch
siderosis [01/,sidə'rousis/]	[01* dtừ]\n- (y) chứng nhiễm sắt
side-saddle [01/'said'sædl/]	[01* dtừ]\n- yên ngồi nghiêng (cho đàn bà; ngồi cả hai chân về cùng bên mình ngựa) 
side-show [01/'said'∫ou/]	[01* dtừ]\n- cuộc biểu diễn phụ\n- sự kiện phụ, sự kiện thứ yếu
side-slip [01/'said'slip/]	[01* dtừ]\n- sự trượt sang một bên\n- (hàng không) sự lượn nghiên\n- mầm cây\n- con hoang\n- (sân khấu) cánh gà sân khấu (nơi kéo phông, kéo màn...)\n[01* nđtừ]\n- trượt sang một bên, dịch sang một bên
side-slitting [01/'said'splitiη/]	[01* ttừ]\n- làm cười vỡ bụng (chuyện...) 
sidesman [01/'saidsmən/]	[01* dtừ] s/n [02sidesmen]\n- phụ tá của hội đồng giáo xứ
sidespin [01/'said,spin/]	[01* dtừ]\n- vận động quay tròn của quả bóng quanh trục
side-splitter [01/'said'splitə/]	[01* dtừ]\n- chuyện tức cười, chuyện làm cười vỡ bụng
side-splitting [01/'said splitiη/]	[01* ttừ]\n- làm cho cười nắc nẻ
side-step [01/'said'step/]	[01* dtừ]\n- sự bước ngang, sự bước sang một bên; sự tránh sang bên\n- bậc xe (ở bên hông xe)\n[01* ngđtừ]\n- tránh sang bên, né (đen & bóng)\n[02= to side-step a difficulty] tránh một sự khó khăn
side-strack [01/'said'stræk/]	[01* dtừ]\n- đường tàu tránh\n[04! to get on to a side-track]\n- ra ngoài đề, lạc đề\n[01* ngđtừ]\n- cho (xe lửa) vào đường tránh; tránh\n- làm sai đi, làm lạc đi, làm trệch đi, đi trệch\n[02= to side-strack attention] đánh lại sự chú ý; làm lãng trí\n- hoãn lại không xét, hoãn lại không giải quyết
side-street [01/'said'stri:t/]	[01* dtừ]\n- con phố ngang (phố nhỏ bắt vào một phố lớn) 
side-stroke [01/'said'strouk/]	[01* dtừ]\n- cú đánh vào mạng sườn\n- tai nạn bất ngờ\n- kiểu bơi nghiêng
