lights	269-30861-B,19-10453-S,170-28341-S,226-9446-S,350-19544-S,432-4440-S
lights out	269-30978-B
lightship	269-31110-B
lightsome	269-31341-B
lightsomeness	269-31486-B
lightweight	269-31663-B
ligible	270-138-B
ligneous	270-236-B
lignification	270-316-B
lignify	270-395-B
lignin	270-477-B
lignite	270-548-B
lignitic	270-595-B
lignivorous	270-663-B
ligno cellulose	270-731-B
lignolytic	270-811-B
lignum vitae	270-881-B
ligroin	270-977-B
ligula	270-1031-B
ligule	270-1150-B
likability	270-1215-B
likable	270-1268-B
likableness	270-1334-B
like	270-1419-B,25-9874-S,62-18634-S,70-20578-S,70-20703-S,73-22829-S,82-25799-S,83-24165-S,125-17299-S,136-9525-S,141-10727-S,170-29022-S,171-29446-S,173-19823-S,178-18707-S,179-20761-S,209-19891-S,216-15299-S,255-2173-S,269-30482-S,270-7694-S,318-6799-S,339-17297-S,348-23006-S,391-40162-S,402-13132-S,427-1222-S,435-4813-S,435-4881-S,447-21327-S,476-19551-S,516-10711-S,523-281-S
like minded	270-4997-B
like mindedness	270-5146-B
likeable	270-4156-B
likelihood	270-4198-B,285-676-S
likeliness	270-4346-B
likely	270-4394-B
liken	270-5322-B
likeness	270-5426-B,171-22453-S
likewise	270-5726-B
liking	270-5851-B
lilac	270-6115-B
liliaceous	270-6256-B
lilied	270-6381-B
liliputian	270-6539-B
lilliputian	270-6608-B
lilo	270-6673-B
lilt	270-6772-B
lilting	270-6930-B
lily	270-6994-B,30-13892-S,45-21440-S,115-16590-S,267-14502-S,278-12981-S,315-17044-S,353-2160-S,406-19648-S,458-8715-S,469-9924-S,510-1357-S,516-1050-S
lily iron	270-7595-B
lily like	270-7694-B
lily livered	270-7779-B
lily of the valley	270-7391-B
lily pad	270-7848-B
lily while	270-7440-B
lily white	270-7898-B
lim ems	270-8163-B
lima	270-8221-B
lima bean	270-8301-B
limacine	270-8372-B
limacon	270-8431-B
limb	270-8461-B
limbate	270-8992-B
limbec	270-9065-B,270-9127-B
limbed	270-9200-B,81-25670-S,188-20515-S,274-5523-S,274-22911-S
