universal [01/,ju:ni'və:sl/]	[01* ttừ]\n- thuộc vũ trụ, thuộc thế giới, thuộc vạn vật\n[02= universal gravitation] sức hấp dẫn của vạn vật\n[02= universal language] ngôn ngữ thế giới (thế giới ngữ)\n- toàn bộ, toàn thể, tất cả, chung, phổ thông, phổ biến; vạn năng\n[02= universal suffrage] sự bỏ phiếu phổ thông\n[02= universal law] luật chung, luật phổ biến\n[02= universal misery] nỗi đau khổ chung\n[02= universal opinion] dự luận chung\n[02= universal agent] đại lý toàn quyền\n[02= universal provider] người buôn đủ loại hàng\n[02= universal legatee] người được hưởng toàn bộ gia tài
universal coupling [01/,ju:ni'və:sl'kʌpliη/]	như [03universal joint]
universal joint [01/,ju:ni'və:sl 'dʒɔint/]	[01* dtừ]\n- trục nối nhiều chiều (khủyu nối hai trục theo cách làm cho hai trục này có thể nối bất cứ góc độ nào với nhau) 
universalise [01/,ju:ni'və:səlaiz/]	như [03universalize]
universalism [01/,ju:ni'və:səlizəm/]	[01* dtừ]\n- (triết học) thuyết phổ biến\n- (tôn giáo)(Universalism) thuyết phổ độ
universalist [01/,ju:ni'və:səlist/]	[01* dtừ]\n- (triết học) người theo thuyết phổ biến\n- (tôn giáo)(Universalist) người theo thuyết phổ độ
universalistic [01/,ju:ni'və:səlistik/]	[01* ttừ]\n- có tính phổ quát
universality [01/,ju:nivə:'sæləti/]	[01* dtừ]\n- tính chất chung, tính toàn thể, tính phổ thông, tính phổ biến
universalization	- xem [03universalize] 
universalize [01/,ju:ni'və:səlaiz/]	[01* ngđtừ]\n- làm cho ai cũng biết, làm cho ai cũng có; làm thành phổ thông, làm thành phổ biến, phổ cập\n[02= to universalize education] phổ cập giáo dục
universally [01/,ju:ni'və:səli/]	[01* phtừ]\n- phổ thông, phổ biến\n- nhất trí, toàn thể
universalness	- xem [03universal] 
universe [01/'ju:nivə:s/]	[01* dtừ]\n- vũ trụ, vạn vật; thế giới, thiên hạ, thế gian
universitarian [01/'ju:ni,və:si'teəriən/]	[01* ttừ]\n- thuộc về đại học
university [01/,ju:ni'və:səti/]	[01* dtừ]\n- trường đại học\n- tập thể (của một) trường đại học\n- đội đại học (đội thể thao của một trường đại học) 
univocal [01/,ju:ni'voukəl/]	[01* ttừ]\n- chỉ có một nghĩa (từ) 
univocally	- xem [03univocal] 
univoltine [01/'ju:ni'vɔltain/]	[01* ttừ]\n- một lứa, một vụ, một thế hệ
unix	- Một hệ điều hành được dùng trong nhiều loại máy tính khác nhau, từ các máy tính lớn cho đến các máy tính lớn cho đến các máy tính cá nhân, nó có khả năng đa nhiệm phù hợp một cách lý tưỏng đối với các ứng dụng nhiều người dùng
unjaded [01/'ʌn'dʒeidid/]	[01* ttừ]\n- không chán ngấy\n- không mệt mỏi, không kiệt sức
unjaundiced [01/ʌn'dʒɔ:ndist/]	[01* ttừ]\n- không bị sự ghen tị làm thiên lệch, không bị sự ghen tị làm cho có thành kiến
unjealous [01/'ʌn'dʒeləs/]	[01* ttừ]\n- không hay ghen, không ghen tuông\n- không ghen ghét, không ghen tị
unjoin [01/ʌn'dʒɔin/]	[01* ngđtừ]\n- tháo ra
unjoint [01/ʌn'dʒɔint/]	[01* ngđtừ]\n- tháo (cần câu...) thành từng khúc
unjoyful [01/'ʌn'dʒɔif(u) l/]	[01* ttừ]\n- không vui vẻ, buồn, buồn chán
unjoyous [01/'ʌn'dʒɔiəs/]	- xem [03unjouful] 
unjudged [01/'ʌn'dʒʌdʒd/]	[01* ttừ]\n- bị kết tội không qua xét xử\n- chưa bị xử án
unjudical [01/'ʌn'dʒu(:) 'di∫(ə) l/]	[01* ttừ]\n- không hợp pháp\n- không dùng luật\n- không xứng đáng, không thích hợp với quan toà
unjudically [01/'ʌn'dʒu(:) 'di∫(ə) li/]	[01* trạng từ]\n- xem [03unjudical] 
unjust [01/ʌn'dʒʌst/]	[01* ttừ]\n- bất công\n- phi lý, trái lẽ, bất chính, không chính đáng\n[02= unjust enrichment] sự làm giàu bất chính\n- không đúng, sai\n[02= unjust scales] cái cân sai
unjustifiable [01/ʌn'dʒʌstifaiəbl/]	[01* ttừ]\n- không thể bào chữa được; không thể biện bạch được, vô lý
unjustifiableness [01/ʌn'dʒʌstifaiəblnis/]	[01* dtừ]\n- tính không thể bào chữa, tính không thể biện bạch; tính vô lý
unjustifiably [01/ʌn'dʒʌstifaiəbli/]	- xem [03unjustifiable] 
unjustified [01/ʌn'dʒʌstifai/]	[01* ttừ]\n- phi lý\n- không được lý giải
unjustly [01/ʌn'dʒʌstli/]	[01* phtừ]\n- không công bằng, bất công; không xứng đáng\n- phi lý, trái lẽ, bất chính, không chính đáng\n- không đúng, sai
unjustness [01/ʌn'dʒʌstnis/]	[01* dtừ]\n- tính bất công\n- tính phi lý\n- tính không đúng
unkempt [01/ʌn'kempt/]	[01* ttừ]\n- không chải, bù xù, rối bù (tóc...) ; lôi thôi lếch thếch (quần áo...) ; mọc um tùm (cây...) ; cẩu thả, không chải chuốt (văn) 
unkennel [01/ʌn'kenl/]	[01* ngđtừ]\n- đuổi ra khỏi (hang, cũi...)\n[01* nđtừ]\n- ra khỏi (hang, cũi) 
unkept [01/ʌn'kept/]	[01* ttừ]\n- bị bỏ rơi\n- không ai bảo vệ\n- không được chăm sóc\n- không được tuân thủ, biết đến
unkey [01/ʌn'ki:/]	[01* ngđtừ]\n- rút, chèn
unkind [01/ʌn'kaind/]	[01* ttừ]\n- không tử tế, không tốt\n- tàn nhẫn, ác
unkindled [01/ʌn'kaindld/]	[01* ttừ]\n- không cháy/bốc lửa\n- chưa thắp (đèn) 
unkindliness	- xem [03unkindly] 
unkindly [01/ʌn'kaindli/]	[01* phtừ]\n- một cách không tốt, một cách tàn nhẫn, một cách độc ác
unkindness [01/ʌn'kaindnis/]	[01* dtừ]\n- lòng không tử tế\n- tính tàn nhẫn
unking [01/ʌn'kiη/]	[01* ngđtừ]\n- làm cho mất ngôi vua, truất ngôi vua
unkingly [01/ʌn'kiηli/]	[01* ttừ]\n- không vương giả, không đường bệ; không đế vương; không xứng đáng một ông vua
unkink [01/ʌn'kink/]	[01* đtừ]\n- cởi nút; gỡ xoắn
