suspiciously [01/sə'spi∫əsli/]	[01* phtừ]\n- có sự nghi ngờ, tỏ ra có sự nghi ngờ\n- gây ra nghi ngờ; đáng ngờ, khả nghi; ám muội, mập mờ (thái độ...)\n- đa nghi, hay nghi ngờ, hay ngờ vực
suspiciousness [01/sə'spi∫əsnis/]	[01* dtừ]\n- tính đáng ngờ, tính khả nghi, tính ám muội, tính mập mờ\n- tính đa nghi, tính hay nghi ngờ\n- sự ngờ vực
suspiration [01/,sʌspi'rei∫n/]	[01* dtừ]\n- (thơ ca) sự thở dài\n- tiếng thở dài
suspire [01/səs'paiə/]	[01* nđtừ]\n- (thơ ca) thở dài
suss [01/sʌs/]	[01* dtừ]\n- sự tình nghi; người bị tình ngờ\n[01* ngđtừ]\n- phát hiện ra ai/cái gì; tìm hiểu; nghiên cứu; điều tra kỹ
sustain [01/sə'stein/]	[01* ngđtừ]\n- chống đỡ\n- giữ vững được\n[02= enough to sustain life] đủ sống\n[02= sustaining food] thức ăn trợ sức\n- chống cự, chịu đựng\n[02= to sustain the shock of the enemy's tanks] chịu đựng sức tấn công của xe tăng địch\n[02= will not sustain comparison with] không thể so sánh với\n- nhận, chấp nhận\n- xác nhận, chứng minh (một lời tuyên bố, một lý thuyết...)\n- (thể thao) hiện (vai kịch...)\n- kéo dài\n[02= sustained effort] sự cố gắng kéo dài, sự cố gắng bền bỉ\n- chịu\n[02= to sustain a defeat] chịu thua\n[02= to sustain a loss] chịu mất, chịu thất thiệt
sustainable [01/səs'teinəbl/]	[01* ttừ]\n- có thể chống đỡ được\n- có thể chịu đựng được\n- có thể xác nhận được, có thể chứng minh được
sustained [01/səs'teind/]	[01* ttừ]\n- được duy trì liên tục\n[02= sustained efforts] những cố gắng duy trì liên tục
sustainer [01/səs'teinə/]	[01* dtừ]\n- nạng chống; thanh chống\n- điểm tựa; ổ tựa\n- người duy trì; giúp đỡ; nâng đỡ
sustaining [01/səs'teiniη/]	[01* dtừ]\n- sự chống đỡ\n[01* ttừ]\n- (y) tăng lực (thuốc)\n- điểm tựa; ổ tựa\n- người duy trì; giúp đỡ; nâng đỡ
sustainment [01/səs'teinmənt/]	[01* dtừ]\n- (hiếm) sự chống đỡ\n- sự chịu đựng\n- sự chấp nhận (lời khiếu nại...) 
sustenance [01/'sʌstinəns/]	[01* dtừ]\n- chất bổ, thức ăn (đen & bóng)\n[02= there is no sustenance in it] trong đó không có chất bổ\n- phương tiện sinh sống\n- (hiếm) sự nuôi dưỡng
sustentacular [01/,sʌsten'tækjulə/]	[01* ttừ]\n- đỡ (mô, tế bào) 
sustentaculum [01/,sʌsten'tækjuləm/]	[01* dtừ]\n- (sinh học) mô đỡ; thể đỡ
sustentation [01/,sʌsten'tei∫n/]	[01* dtừ]\n- sự nuôi sống\n[02= sustentation fund] (hiếm) quỹ trợ cấp cho thầy tu nghèo\n- sự giữ gìn, sự duy trì
susu [01/'su:su/]	[01* dtừ s/n susus]\n- người xuxu (ở Mali, Ghinê)\n- tiếng Xuxu
susurration [01/,su:sə'rei∫n/]	[01* dtừ]\n- (hiếm) tiếng rì rầm, tiếng xào xạc
