Man of Sorrows [01/'mænəv'sɔrouz/]	[01* dtừ]\n- Giêxu
mangoes [01/'mæηgouz/]	[01* dtừ]\n- quả xoài\n- <thực> cây xoài
mangold [01/'mæɳgəld/]	[01* dtừ]\n- (thực vật) củ cải to ((thường) dùng làm thức ăn cho vật nuôi) 
mangonel [01/'mæηgənel/]	[01* dtừ]\n- máy bắn đá
mangosteen [01/'mæηgousti:n/]	[01* dtừ]\n- (thực vật) cây măng cụt\n- quả măng cụt
mangrove [01/'mæηgrouv/]	[01* dtừ]\n- (thực vật) cây đước
mangy [01/'meindʒi/]	[01* ttừ]\n- ghẻ lở\n- bẩn thỉu, dơ dáy; xơ xác
manhandle [01/'mænhændl/]	[01* ngđtừ]\n- cư xử thô bạo\n- khiêng, vác
manhole [01/'mænhoul/]	[01* dtừ]\n- miệng cống; lỗ cống
manhood [01/'mænhud/]	[01* dtừ]\n- nhân cách, nhân tính\n- tuổi trưởng thành\n[02= to reach (arrive at) manhood] đến tuổi trưởng thành\n[02= manhood suffrage] quyền bầu cử cho tất cả những người đàn ông đến tuổi trưởng thành\n- dũng khí, lòng can đảm, tính cương nghị\n- đàn ông (nói chung)\n[02= the whole manhood of the country] toàn thể những người đàn ông của đất nước
man-hour [01/'mæn'auə/]	[01* dtừ]\n- giờ công (công việc do một người làm trong một giờ) 
man-hunt [01/'mæn'hʌnt/]	[01* dtừ]\n- sự săn lùng những kẻ phạm tội
man-hunter [01/'mæn'hʌntə/]	[01* dtừ]\n- người săn lùng những kẻ phạm tội
mania [01/'meinjə/]	[01* dtừ]\n- chứng điên, chứng cuồng\n- tính gàn, tính kỳ quặc\n- tính ham mê, tính nghiện\n[02= to have a mania for moving picture] nghiện phim ảnh
maniac [01/'meiniæk/]	[01* ttừ]\n- điên cuồng\n- gàn, kỳ quặc\n[01* dtừ]\n- người điên
maniacal [01/mə'naiəkəl/]	[01* ttừ]\n- điên, cuồng
maniacally [01/mə'naiəkəli/]	[01* phtừ]\n- xem [03maniacal] 
manic [01/'mænik/]	[01* ttừ]\n- vui buồn thất thường
manic depression [01/'mænik di'pre∫ən/]	[01* dtừ]\n- sự rối loạn thần kinh; chứng hưng trầm cảm
manic-depressive [01/'mænikdi'presiv/]	[01* ttừ]\n- (y) rối loạn thần kinh; mắc chứng hưng trầm cảm
Manichaean [01/,mæni'ki:ən/]	- Cách viết khác : [03Manichean]
Manichaeanism [01/,mæni'ki:ənizm/]	- Cách viết khác : [03Manichaeism]
Manichaeism [01/mæni'ki:izm/]	[01* dtừ]\n- như [03Manichaeanism] 
Manichean [01/,mæni'ki:ən/]	- xem [03Manichaean] 
manicure [01/'mænikjuə/]	[01* dtừ]\n- sự cắt sửa móng tay\n- thợ cắt sửa móng tay\n[01* nđtừ]\n- cắt sửa móng tay
manicurist [01/'mænikjuərist/]	[01* dtừ]\n- thợ cắt sửa móng tay
manifest [01/'mænifest/]	[01* dtừ]\n- bản kê khai hàng hoá chở trên tàu (để nộp sở thuế quan)\n[01* ttừ]\n- rõ ràng, hiển nhiên\n[02= a manifest truth] một sự thật hiển nhiên\n[01* ngđtừ]\n- biểu lộ, biểu thị, bày tỏ, chứng tỏ\n[02= to manifest firm determination to fight to final victory] biểu lộ ý chí kiên quyết chiến đấu cho đến thắng lợi cuối cùng\n- kê khai vào bản kê khai (hàng hoá chở trên tàu)\n[01* nđtừ]\n- hiện ra (ma) 
manifest desting [01/'mænifest'destini/]	[01* dtừ]\n- thuyết bành trướng do định mệnh (của Mỹ) 
Manifest Destiny [01/,mænifest'destini/]	[01* dtừ]\n- thuyết bành trướng do định mệnh (chủ trương đế quốc Mỹ phải bành trướng ra ngoài) 
manifestable [01/'mænifestəbl/]	[01* ttừ]\n- có thể biểu lộ, có thể biểu thị
manifestant [01/'mæni'festənt/]	[01* dtừ]\n- người tham gia biểu tình thị uy
manifestation [01/,mænifes'tei∫n/]	[01* dtừ]\n- sự biểu lộ, sự biểu thị\n- cuộc biểu tình, cuộc thị uy\n- sự hiện hình (hồn ma) 
manifestly [01/'mænifestli/]	[01* phtừ]\n- rõ ràng; hiển nhiên
manifestness [01/'mænifestnis/]	[01* dtừ]\n- tính rõ ràng, tính hiển nhiên
manifesto [01/,mæni'festou/]	[01* dtừ]\n- bản tuyên ngôn\n[02= to issue a manifesto] ra một bản tuyên ngôn
manifold [01/'mænifould/]	[01* ttừ]\n- rất nhiều; nhiều vẻ\n[01* ngđtừ]\n- in thành nhiều bản
manifolder [01/'mænifouldə/]	[01* dtừ]\n- máy in sao\n- người in sao; người chép sao
maniform [01/'mænifɔ:m/]	[01* ttừ]\n- hình bàn tay
manikin [01/'mænikin/]	[01* dtừ]\n- người lùn\n- người kiểu (bằng thạch cao, chất dẻo... để học giải phẫu, để làm kiểu vẽ, kiểu nặn)\n- người giả (ở hiệu may) 
manila [01/mə'nilə/]	[01* dtừ]\n- sợi cây chuối sợi (để bện thừng)((cũng) [03manila hemp] )\n- xì gà mani
Manila hemp [01/mənilə'hemp/]	[01* dtừ]\n- như [03abaca] 
manilla [01/mə'nilə/]	như [03manila]
Manilla paper [01/mənilə'peipə/]	[01* dtừ]\n- giấy làm bằng sợi cầy chuối sợi
manioc [01/'mæniɔk/]	[01* dtừ]\n- (thực vật) cây sắn\n- bột sắn
maniple [01/'mænipl/]	[01* dtừ]\n- dải áo thầy dòng (đeo ở tay trái khi làm lễ)\n- (cổ)(La-mã) trung đội (gồm từ 60 đến 120 người) 
manipular [01/mə'nipjulə/]	[01* dtừ]\n- (cổ) lính trong trung đội La Mã
manipulate [01/mə'nipjuleit/]	[01* ngđtừ]\n- vận dụng bằng tay, thao tác\n- lôi kéo, vận động (bằng mánh khoé) 
