responsions [01/ri'spɔn∫ənz/]	[01* dtừ s/n]\n- kỳ thi ngày xưa yêu cầu để vào trường đại học Oxford
resuscitation [01/ri,sʌsi'tei∫n/]	[01* dtừ]\n- sự làm sống lại, sự làm tỉnh lại; sự sống lại\n- sự làm cho rõ nét lại, sự làm cho được chuộng lại
resuscitative [01/ri'sʌsitətiv/]	[01* ttừ]\n- có xu hướng sống lại/phục hồi/tái sinh
resuscitator [01/ri'sʌsiteitə/]	[01* dtừ]\n- người/ vật làm sống lại/tỉnh lại\n- máy giúp người bị nghẹt thở thở lại
resynthesis [01/ri:'sinθisis/]	[01* dtừ]\n- sự tổng hợp lại
ret [01/ret/]	như [03rait]
retable [01/ri'teibl/]	[01* dtừ]\n- hậu bộ (của) bàn thờ
retail [01/'ri:teil/]	[01* dtừ]\n- sự bán lẻ\n[02= retail price] giá bán lẻ\n[02= retail trading] việc buôn bán lẻ\n[02= retail dealer] người buôn bán lẻ\n[01* phtừ]\n- bán lẻ\n[02= to sell both wholesale and retail] vừa bán buôn vừa bán lẻ\n[01* đtừ]\n- bán lẻ\n[02= these hats retail at 5d each] những mũ này bán lẻ 5đ một chiếc\n- thuật lại, kể lại chi tiết; truyền đi, phao, loan (tin đồn) 
retailer [01/ri:'teilə/]	[01* dtừ]\n- người bán lẻ\n- người phao (tin đồn) 
retailing [01/ri:'teiliη/]	[01* dtừ]\n- công việc bán lẻ
retain [01/ri'tein/]	[01* ngđtừ]\n- giữ, cầm lại\n[02= dykes retain the river water] đê điều ngăn giữ nước sông\n- ghi nhớ\n- thuê (luật sư)\n- vẫn giữ, vẫn có, vẫn duy trì, vân dùng, không bỏ, không thừa nhận\n[02= to retain one's composure] vẫn giữ bình tĩnh\n[02= to retain control of...] vẫn nắm quyền kiểm soát..., vẫn làm chủ...
retainer [01/ri'teinə/]	[01* dtừ]\n- sự giữ lại làm của riêng; sự được giữ lại làm của riêng\n- tiền trả trước cho luật sư\n- người hầu cận, người tuỳ tùng\n[02= old retainer] (đùa) lão bộc\n- vật giữ; người cầm giữ\n[02= a retainer of heat] vật giữ nhiệt\n- tình trạng được giữ lại (để làm một công tác gì)\n- (kỹ) vòng kẹp; cái hãm, khoá dừng
retaining [01/ri'tainiη/]	[01* dtừ]\n- sự giữ lại, sự duy trì
retaining fee [01/ri'teiniη'fi:/]	[01* dtừ]\n- tiền trả trước cho luật sư
retaining force [01/ri'teiniη'fɔ:s/]	[01* dtừ]\n- (qsự) lực lượng đóng để giam chân địch
retaining wall [01/ri'teiniη'wɔ:l/]	[01* dtừ]\n- tường chắn (một chỗ đất cho khỏi lở) 
retake [01/'ri:teik/]	như [03retook]
retaken [01/'ri:'teik/]	như [03retook]
retaliate [01/ri'tælieit/]	[01* đtừ]\n- trả đũa, trả thù, trả miếng\n[02= to retaliate upon someone] trả miếng lại ai
retaliation [01/ri,tæli'ei∫n/]	[01* dtừ]\n- sự trả đũa, sự trả thù, sự trả miếng
retaliative [01/ri'tæliətiv/]	[01* ttừ]\n- để trả đũa, để trả thù, có tính chất trả miếng
retaliatory [01/ri'tæliətri/]	như [03retaliative]
retannage [01/,ri:'tænidʒ/]	[01* dtừ]\n- sự thuộc lại da
retantion	- sự giữ lại
retapering [01/,ri:'teipəring/]	[01* dtừ]\n- (kỹ) sự sửa lại độ thuôn; sự vót thuôn lại; sự vuốt kéo thuôn lại
retard [01/ri'tɑ:d/]	[01* dtừ]\n- sự chậm trễ, sự đến trễ\n[01* ngđtừ]\n- làm chậm lại, làm trễ\n[02= the rain retarded our departure] mưa làm chậm trễ việc khởi hành của chúng tôi\n[01* nđtừ]\n- đến chậm, đến trễ
retardant [01/ri:'ta:dənt/]	[01* dtừ]\n- (sinh vật) chất làm chậm lại
retardate [01/ri:'ta:deit/]	[01* dtừ]\n- (Mỹ) người trí tuệ phát triển chậm
retardation [01/,ri:tɑ:'dei∫n/]	[01* dtừ]\n- sự chậm, sự trễ
retardative [01/ri'tɑ:dətiv/]	như [03retardatory]
retardaton	- sự chậm
retardatory [01/ri'tɑ:dətəri/]	[01* ttừ]\n- làm chậm trễ
retarded [01/ri'tɑ:did/]	[01* ttừ]\n- chậm phát triển thể chất, chậm phát triển tinh thần
retarder [01/ri'ta:də/]	[01* dtừ]\n- chất làm chậm/ kìm hãm/ ức chế\n- thiết bị hãm; guốc hãm\n[02= car retarder] guốc hãm toa xe
retarder-equipped [01/ri'ta:də i'kwipt/]	[01* ttừ]\n- (đường sắt) có trang bị bộ phận hãm toa xe
retarding-field [01/ri'ta:diη,fi:ld/]	[01* dtừ]\n- trường trễ
retardment [01/ri'tɑ:dmənt/]	như [03retardation]
retch [01/ret∫/]	[01* nđtừ]\n- nôn oẹ
retd [01/ret/]	[01* ttừ]\n- vt của [03retired] về hưu\n[01* nđtừ]\n- vt của [03returned] trở về
rete [01/'ri:ti/]	[01* dtừ] s/n [02retia]\n- (phẫu) mạng lưới (dây thần kinh, mạch máu) 
retecious [01/ri:'ti:∫əs/]	[01* ttừ]\n- (phẫu) dạng mạng lưới
retell [01/,ri:'tel/]	như [03retold]
retelling [01/ri:'teliη/]	[01* dtừ]\n- bản kể lại mới\n[02= a retelling of a Greek legend] bản viết mới về một truyền thuyết Hy lạp
retemper [01/ri:'tempə/]	[01* ngđtừ]\n- (kỹ) hoà lại; trộn lại\n- thay đổi thành phần; làm giảm đi\n- (luyện kim) tôi lại (thép) 
retention [01/ri'ten∫n/]	[01* dtừ]\n- sự giữ lại, sự cầm lại\n- sự duy trì\n- sự ghi nhớ; trí nhớ\n- (y) sự bí (đái...) 
retentive [01/ri'tentiv/]	[01* ttừ]\n- giữ lại, cầm lại\n[02= retentive of moisture] giữ ẩm\n- dai, lâu (trí nhớ)\n[02= retentive memory] trí nhớ dai
retentively [01/ri'tentivli/]	[01* phtừ]\n- có khả năng nhớ các sự kiện; dai, lâu (trí nhớ)\n- có khả năng giữ, có khả năng ngăn; giữ lại, cầm lại
retentiveness [01/ri'tentivnis/]	[01* dtừ]\n- tình trạng có khả năng nhớ các sự kiện; sự dai, sự lâu (trí nhớ)\n- tình trạng có khả năng giữ, tình trạng có khả năng ngăn; sự giữ lại, sự cầm lại
retenue [01/'retənju:/]	[01* dtừ]\n- sự tự kiềm chế
rethink	[01* ngđtừ]\n- suy tính lại, cân nhắc lại\n[01* dtừ]\n- sự suy tính lại, sự cân nhắc lại
rethought [01/ri:'θɔ:t/]	[01* đtừ]\n- quá khứ và quá khứ phân từ của [03rethink]
rethrash [01/ri:'θræ∫/]	[01* ngđtừ]\n- (nông nghiệp) đập lại rơm
rethread [01/ri:'θred/]	[01* ngđtừ]\n- (ngành dệt) mắc lại sợi\n- (kỹ) ren lại
retia [01/'ri:∫jə/]	[01* dtừ] s/n\n- xem [03rete] 
retiarius [01/,ri:ti'eəriəs/]	[01* dtừ]\n- (cổ La mã) đấu sĩ mặt mạng lưới
