consilient [01/kən'siliənt/]	[01* ttừ]\n- trùng hợp, ăn khớp
consist (of)	- gồm, bao gồm
consist [01/kən'sist/]	[01* nđtừ]\n- (+[04 of]) gồm có\n[02= water consists of hydrogen] nước gồm có hydrô và ôxy\n- (+[04 in]) cốt ở, cốt tại, ở chỗ\n[02= happiness consists trying one's best to fulfill one's duty] hạnh phúc là ở chỗ cố gắng hết sức mình hoàn thành nhiệm vụ\n- (+[04 with]) phù hợp\n[02= to consist with something] phù hợp với việc gì
consistence [01/kən'sistəns/]	[01* dtừ]\n- độ đặc, độ chắc\n[02= oil has greater consistence than water] dầu đặc hơn nước\n- (bóng) tính vững chắc, tính chắc chắn
consistency [01/kən'sistənsi/]	[01* dtừ]\n- (như) [03consistence]\n- tính kiên định, tính trước sau như một\n[02= there is no consistency in this man] anh chàng này thiếu kiên định
consistent [01/kən'sistənt/]	[01* ttừ]\n- đặc, chắc\n- (+[04 with]) phù hợp, thích hợp\n[02= action consistent with the law] hành động phù hợp với luật pháp\n[02= it would not be consistent with my honour to...] danh dự của tôi không cho phép tôi...\n- kiên định, trước sau như một\n[02= a consistent friend of the working class] người bạn kiên định của giai cấp công nhân
consistently [01/kən'sistəntli/]	[01* phtừ]\n- (+[04 with]) phù hợp với, thích hợp với\n- kiên định, trước sau như một
consistnet	- tính nhất quán, phi mâu thuẫn; vững
consistorial	- xem [03consistory] 
consistory [01/kən'sistəri/]	[01* dtừ]\n- (tôn giáo) hội đồng giáo chủ (có cả giáo hoàng)\n- toà án tôn giáo
consociate [01/kən'sou∫ieit/]	[01* đtừ]\n- cộng tác; liên kết\n[01* dtừ]\n- người cộng tác
consolable [01/kən'souləbl/]	[01* ttừ]\n- có thể an ủi, có thể giải khuây, có thể làm nguôi được
consolation [01/,kɔnsə'lei∫n/]	[01* dtừ]\n- sự an ủi, sự giải khuây\n[02= words of consolation] những lời an ủi\n[02= consolation prize] giải thưởng an ủi
consolatory [01/kən'sɔlətəri/]	[01* ttừ]\n- an ủi, giải khuây, làm nguôi lòng
console [01/kən'soul/]	[01* ngđtừ]\n- an ủi, giải khuây\n[01* dtừ]\n- (kiến trúc) rầm chìa
console operator	- (kỹ) điều hành viên bàn kiểm soát
console printer	- (kỹ) máy in tại bàn kiểm soát
console terminal	- (kỹ) đầu cuối bàn kiểm soát
console type	- (kỹ) kiểu bàn kiểm soát
console typewriter	- (kỹ) máy đánh chữ điều hành
