digenic [01/dai'dʒenik/]	[01* ttừ]\n- hai gen
digest [01/'daidʒest/]	[01* dtừ]\n- sách tóm tắt (chủ yếu là luật)\n- tập san văn học, tập san thời sự(di'dʤest)\n[01* ngđtừ]\n- phân loại, sắp đặt có hệ thống; tóm tắt có hệ thống\n- suy nghĩ kỹ càng, sắp xếp trong óc\n- tiêu hoá, làm tiêu hoá (thức ăn)\n- (bóng) hiểu thấu, lĩnh hội, tiêu hoá (những điều đã học...)\n- đồng hoá (một vùng đất đai chinh phục được)\n- nhịn, chịu đựng, nuốt (nhục...)\n[02= to digest an insult] nuốt nhục, chịu nhục\n- ninh, sắc (một chất trong rượu...)\n[01* nđtừ]\n- tiêu, tiêu hoá được
digestant [01/di'gestənt/]	[01* dtừ]\n- (dược) thuốc giúp cho tiêu hoá
digester [01/di'dʒestə/]	[01* dtừ]\n- người phân loại, người phân hạng; người tóm tắt có hệ thống\n- người tiêu hoá\n[02= to be a bad digester] người ăn lâu tiêu\n- vật giúp cho sự tiêu hoá\n- máy ninh, nồi (nấu canh, ninh...) 
digestibility [01/di,dʒestə'biliti/]	[01* dtừ]\n- tính tiêu hoá được
digestible [01/di'dʒestəbl/]	[01* ttừ]\n- tiêu hoá được
digestif [01/didʒe'sti:f/]	[01* dtừ]\n- thức uống giúp cho tiêu hoá
digestion [01/di'dʒest∫n/]	[01* dtừ]\n- sự tiêu hoá; khả năng tiêu hoá\n[02= hard of digestion] khó tiêu\n[02= a weak (sluggish) digestion] khả năng tiêu hoá kém\n[02= a good digestion] khả năng tiêu hoá tốt\n- sự hiểu thấu, sự lĩnh hội, sự tiêu hoá (những điều đã học...)\n- sự ninh, sự sắc
digestive [01/di'dʒestiv/]	[01* ttừ]\n- tiêu hoá\n[02= system] bộ máy tiêu hoá\n- giúp cho dễ tiêu\n[01* dtừ]\n- (y) thuốc tiêu\n- thuốc đắp làm mưng mủ
digestive system	- hệ tiêu hóa
digger [01/'digə/]	[01* dtừ]\n- dụng cụ đào lỗ; người đào, người bới, người xới, người cuốc\n- người đào vàng ((cũng) [03gold] )\n- máy đào, bộ phận đào, bộ phận xới (của máy)\n- (lóng) người Uc\n- (Diggess) người mỹ da đỏ chuyên ăn rễ cây\n- ong đào lỗ ((cũng) [03digger-wasp] ) 
digger-wasp [01/'digə'wɔsp/]	[01* dtừ]\n- như [03digger] 
digging [01/'digiη/]	[01* dtừ]\n- sự đào, sự bới, sự xới, sự cuốc ((lóng) digs)\n- sự tìm tòi, sự nghiên cứu\n- (số nhiều) mỏ vàng; mỏ\n- (số nhiều)(tục) phòng thuê (có đồ đạc sẵn) 
