scrape [01/skreip/]	[01* dtừ]\n- sự nạo, sự cạo\n- tiếng nạo, tiếng cạo kèn kẹt, tiếng sột soạt\n- tình trạng khó khăn, tình trạng lúng túng\n- sự kéo lê chân ra đằng sau (trong khi cúi chào)\n[01* đtừ]\n- nạo, cạo, gọt, gạt, vét; làm cho nhăn, đánh bóng\n[02= to scrape a ship's bottom] cạo đáy tàu\n[02= to scrape one's chin] cạo râu\n[02= to scrape one's plate] vét hết thức ăn trong đĩa\n[02= to scrape off paint] cạo sơn\n[02= to scrape one's boots] gạt bùn ở đế giày ống\n- làm kêu loẹt soẹt\n- kéo lê\n[02= to scrape one's feet] kéo lê giày (làm kêu loẹt soẹt để phản đối một diễn giả) ; kéo lê chân ra đằng sau (khi cúi chào)\n- cọ, quét, quẹt vào\n[02= branches scrape against the window] cành cây cọ vào cửa sổ\n[02= the car scraped its paint against the wall] xe ô tô quẹt vào tường và bong sơn\n- cóp nhặt, dành dụm\n[04! to scrape away]\n- đánh chùi, cạo (vật gì)\n[04! to scrape down]\n[04! to scrape away]\n- làm kêu loẹt soẹt (bằng cách lê giày xuống sàn) để diễn giả không nói được nữa\n[04! to scrape off]\n- cạo nạo\n[04! to scrape together (up)]\n- cóp nhặt, dành dụm\n[04! to scrape acquaintance with somebody]\n- xem [03acquaitance] 
scrape-good [01/'skreip,gud/]	[01* dtừ]\n- người biển lận, người tham lam\n[01* ttừ]\n- biển lận; tham lam
scrape-penny [01/'skreip'peni/]	[01* dtừ]\n- người hà tiện, người bòn nhặt từng xu
scraper [01/'skreipə/]	[01* dtừ]\n- người nạo, người cạo\n- người kéo viôlông cò cử\n- cái nạo, vật dụng dùng để cạo\n[02= shoe scraper] cái gạt bùn đế giày (đặt ở cửa ra vào) 
scraper-board [01/'skreipə,bɔ:d/]	[01* dtừ]\n- cái bảng bôi màu đen có thể cạo trắng để thành bức tranh\n- bức tranh (được tạo bằng lối trên) 
scrap-heap [01/'skræp'hi:p/]	[01* dtừ]\n- đồng phế liệu\n[02= scrap-heap policy] chính sách có mới nới cũ
scrap-house [01/'skræp,haus/]	[01* dtừ]\n- nơi chế tạo thức ăn của cá
scraping [01/'skreipiη/]	[01* dtừ]\n- sự nạo, sự cạo\n- tiếng nạo, tiếng cạo\n- (số nhiều) những cái nạo ra
scrap-iron [01/'skræp'aiən/]	[01* dtừ]\n- sắt vụn
scrappage [01/'skreipidʒ/]	[01* dtừ]\n- vụn nạo; vụn cạo
scrap-paper	[01* dtừ]\n- giấy nháp
scrapped [01/'skreipt/]	[01* ttừ]\n- bị cạo đi, bị gọt đi, bị loại bỏ
scrapper [01/'skræpə/]	[01* dtừ]\n- (lóng) người ẩu đả, người thích ẩu đả
scrappily [01/'skræpili/]	[01* phtừ]\n- chắp vá; vụn, rời rạc\n- (Mỹ)(tục) thích cãi cọ; hay gây gỗ
scrappiness [01/'skræpinis/]	[01* dtừ]\n- tính chắp vá; tính chất vụn, tính chất rời rạc\n- (Mỹ)(tục) tính thích cãi cọ; tính hay gây gỗ
scrappy [01/'skræpi/]	[01* ttừ]\n- vụn, rời\n- thích ẩu đả, thích đánh nhau
scrap-yard [01/'skræp'jɑ:d/]	[01* dtừ]\n- bãi phế liệu
