disconcert [01/,diskən'sə:t/]	[01* ngđtừ]\n- làm rối, làm hỏng, làm đảo lộn (kế hoạch...)\n- làm mất bình tĩnh, làm bối rối, làm lúng túng, làm luống cuống; làm chưng hửng
disconcerted [01/,diskən'sə:tid/]	[01* ttừ]\n- bị làm rối, bị làm hỏng, bị làm đảo lộn\n- bối rối, lúng túng, luống cuống; chưng hửng
disconcerting [01/,diskən'sə:tiη/]	[01* ttừ]\n- làm rối, làm hỏng, làm đảo lộn\n- làm bối rối, làm lúng túng, làm luống cuống; làm chưng hửng
disconcertingly [01/,diskən'sə:tiηli/]	[01* phtừ]\n- gây bối rối, gây lúng túng
disconcertment [01/,diskən'sə:tmənt/]	[01* dtừ]\n- sự làm rối, sự làm hỏng, sự làm đảo lộn (kế hoạch...) ; tình trạng bị làm rối, tình trạng bị làm hỏng, tình trạng bị làm đảo lộn\n- sự làm mất bình tĩnh, sự làm bối rối, sự làm lúng túng, sự làm luống cuống; sự làm chưng hửng; sự mất bình tĩnh, sự bối rối, sự lúng túng, sự luống cuống; sự chưng hửng
discone antenna	- (kỹ) ăngten đĩa chóp
disconfirm [01/diskən'fə:m/]	[01* ngđtừ]\n- phản đối
disconformity [01/diskən'fɔ:miti/]	[01* dtừ]\n- sự không nhất trí; sự không thích hợp
discongruity [01/diskən'gru:iti/]	[01* dtừ]\n- sự mâu thuẩn; sự không thích hợp; sự không nhất trí
disconnect [01/,diskə'nekt/]	[01* ngđtừ]\n- làm rời ra, cắt rời ra, tháo rời ra; phân cách ra\n- (điện học) ngắt, cắt (dòng điện...) 
disconnect signal	- (kỹ) tín hiệu cắt
disconnected [01/,diskə'nektid/]	[01* ttừ]\n- bị rời ra, bị cắt rời ra, bị tháo rời ra; bị phân cách ra\n- (điện học) bị ngắt, bị cắt (dòng điện...)\n- rời rạc, không có mạch lạc (bài nói, bài viết) 
disconnectedness [01/,diskə'nektidnis/]	[01* dtừ]\n- sự bị rời ra, sự bị cắt rời\n- sự rời rạc, sự không có mạch lạc
disconnecting	- (kỹ) cắt, tháo, tách rời (d) 
disconnecting switch	- (kỹ) cái cắt mạch
disconnection [01/,diskə'nek∫n/]	[01* dtừ]\n- sự làm rời ra, sự cắt rời ra, sự tháo rời ra; sự phân cách ra\n- (điện học) sự ngắt, sự cắt
disconnexion [01/,diskə'nek∫n/]	như [03disconnection]
disconsider [01/,diskən'side/]	[01* ngđtừ]\n- làm mất danh tiếng
disconsolate [01/dis'kɔnsəlit/]	[01* ttừ]\n- không thể an ủi được, không thể giải được\n- buồn phiền, phiền muộn, chán nản thất vọng
disconsolately [01/dis'kɔnsəlitli/]	như [03bleakly]
disconsolateness [01/dis'kɔnsəlitnis/]	[01* dtừ]\n- xem [03disconsolate] chỉ tâm trạng
disconsolation [01/dis,kɔnsə'lei∫n/]	[01* dtừ]\n- xem [03disconsolateness] 
discontent [01/,diskən'tent/]	[01* dtừ]\n- sự không vừa lòng, sự không hài lòng; sự bất mãn\n[01* ttừ]\n- (hiếm) không vừa lòng, không hài lòng; bất mãn
discontented [01/,diskən'tentid/]	[01* ttừ]\n- bất mãn, bất bình
discontentedly [01/,diskən'tentidli/]	[01* phtừ]\n- bất bình, bất mãn
discontentment [01/,diskən'tentmənt/]	[01* ngđtừ]\n- làm không vừa lòng, làm không hài lòng; làm bất mãn\n[01* ttừ]\n- sự không vừa lòng, sự không hài lòng; sự bất mãn
discontigous [01/,diskən'tigjuəs/]	như [03discontiguous]
discontiguous [01/,diskən'tigjuəs/]	[01* ttừ]\n- không kế liền, không giáp liền, không tiếp giáp
discontinuance [01/,diskən'tinjuəns/]	[01* dtừ]\n- sự ngừng, sự đình chỉ; sự đứt quãng, sự gián đoạn\n- sự bỏ (một thói quen)\n- sự thôi (không mua báo dài hạn nữa...) 
discontinuation [01/diskən,tinju'ei∫n/]	như [03discontinuance]
discontinue [01/'diskən'tinju:/]	[01* ngđtừ]\n- ngừng đình chỉ; gián đoạn\n- bỏ (một thói quen)\n- thôi không mua (báo dài hạn...), thôi (làm việc gì...) 
discontinuity [01/,diskən'tinju:iti/]	[01* dtừ]\n- tính không liên tục, tính gián đoạn\n- (lý) ; (toán) điểm gián đoạn\n[02= carve discontinuity] điểm gián đoạn của đường cong\n[02= discontinuity of a function] điểm gián đoạn của hàm
discontinuos	- gián đoạn rời rạc\n- pointwise d. gián đoạn từng điểm
discontinuous [01/,diskən'tinjuəs/]	[01* dtừ]\n- không liên tục, gián đoạn
discontinuous spectrum	- (kỹ) phổ không liên tục
discontinuous wave	- (kỹ) sóng không liên tục
discontinuously [01/,diskən'tinjuəsli/]	[01* phtừ]\n- gián đoạn, không liên tục
discophile [01/'diskɔ,fail/]	[01* dtừ]\n- người thích và sưu tập đĩa hát
discoplacenta [01/'diskɔ plə, sentə/]	[01* dtừ]\n- nhau dạng đĩa
discord [01/'diskɔ:d/]	[01* dtừ]\n- sự bất hoà; mối bất hoà, mối xích mích\n[02= to sow discord] gieo mối bất hoà\n- tiếng chói tai\n- (âm nhạc) nốt nghịch tai\n[01* nđtừ]\n- (+[04 with, from]) bất hoà với, xích mích với\n- chói tai, nghịch tai; không hợp âm (tiếng, âm...) 
discordance [01/dis'kɔ:dəns/]	[01* dtừ]\n- sự bất hoà; mối bất hoà\n- sự chói tai, sự nghịch tai; sự không hợp âm
discordant [01/dis'kɔ:dənt/]	[01* ttừ]\n- bất hoà, trái ngược nhau, không hoà hợp\n- chói tai, nghịch tai; không hợp âm\n[02= a discordant note] (âm nhạc) nốt nghịch tai
