1 byte character	1-59-B
aasvogel	1-5997-B
ab	1-6081-B
ab extra	1-6222-B
ab initio	1-6279-B
ab intra	1-6462-B
ab origine	1-6523-B
ab ovo	1-6588-B
aba	1-6672-B
abaca	1-6768-B
abaci	1-6877-B
abacist	1-7097-B
aback	1-7185-B
abacterial	1-7559-B
abaction	1-7637-B
abactus	1-7726-B
abacus	1-7784-B
abaddon	1-8026-B
abaft	1-8101-B
abalienate	1-8307-B
abalienation	1-8385-B
abalone	1-8470-B
abampere	1-8529-B
abandon	1-8659-B
abandon call	1-9110-B
abandoned	1-9143-B
abandoner	1-9252-B
abandonment	1-9329-B,409-9723-S
abapikal	1-9590-B
abarticular	1-9685-B
abase	1-9777-B
abasement	1-9916-B,409-9862-S
abash	1-10035-B
abashed	1-10132-B
abashment	1-10195-B
abask	1-10298-B
abatable	1-10416-B
abate	1-10697-B
abatement	1-11202-B
abater	1-11532-B
abatis	1-11618-B
abatised	1-11729-B
abattoir	1-11836-B
abaxial	1-11902-B
abaya	1-11973-B
abb	1-12043-B
abbacy	1-12133-B
abbatial	1-12237-B
abbess	1-12282-B
abbey	1-12341-B
abbo	1-12449-B
abbot	1-12572-B
abbr	1-12631-B
abbreviate	1-12713-B
abbreviated	1-12938-B
abbreviated address	1-13067-B
abbreviation	1-13120-B
abbreviator	1-13396-B
abc	1-13464-B
abc book	1-13895-B
abcauline	1-13815-B
abdicable	1-13945-B
abdicant	1-13975-B
abdicate	1-14060-B
abdication	1-14312-B
abdicator	1-14457-B
abdomen	1-14504-B
abdominal	1-14551-B,449-1800-S
abdominally	1-14717-B
abdominous	1-14795-B
abducens	1-14854-B
abducent	1-14933-B
abduct	1-15006-B
abduction	1-15142-B
abductor	1-15298-B
abeam	1-15462-B
abearance	1-15623-B
abecedarian	1-15723-B
abecedaries	1-15882-B
abed	1-16000-B,269-7420-S,425-14999-S
abele	1-16099-B
abelmosk	1-16169-B
abend	1-16244-B
abenteric	1-16318-B
aberrance	1-16402-B
aberrancy	1-16448-B
aberrant	1-16545-B
aberrantly	1-16630-B
aberration	1-16661-B,78-6981-S,88-337-S,150-3981-S
abet	1-16996-B
abetment	1-17095-B
abettal	1-17139-B
abetter	1-17244-B
abettor	1-17318-B
abeyance	1-17358-B
abeyant	1-17939-B
abhor	1-18034-B
abhorrence	1-18109-B,409-9938-S
abhorrent	1-18356-B
abhorrently	1-18835-B
abhorrer	1-18868-B
abidance	1-18894-B
abide	1-19125-B
abider	1-19795-B
abiding	1-19819-B,265-20936-S
abidingly	1-19927-B
abidingness	265-21036-S
abience	1-19956-B
abient	1-20020-B
abies	1-20078-B
abietene	1-20116-B
abigail	1-20173-B
abilitate	1-20234-B
ability	1-20308-B
abiogenesis	1-20720-B
abiogenetic	1-20813-B
abiogenetically	1-20901-B
abiogenist	1-20998-B
abiogenous	1-21093-B
abiogeny	1-21149-B
abiological	1-21201-B
abiologically	1-21276-B
abioseston	1-21313-B
abiosis	1-21400-B
abiotic	1-21429-B
abiotically	1-21480-B
abiotrophic	1-21511-B
abirritant	1-21598-B
abirritate	1-21671-B
abirritation	1-21738-B
abject	1-21812-B
abjection	1-22005-B
abjectly	1-22101-B
abjectness	1-22198-B
abjudicate	1-22354-B
abjuration	1-22449-B
abjure	1-22597-B
abjurer	1-22926-B
ablactation	1-22952-B
ablastous	1-23037-B
ablate	1-23109-B
ablation	1-23164-B
ablative	1-23340-B
ablaut	2-0-B
ablaze	2-51-B
able	2-226-B,88-17713-S,200-17888-S,431-5006-S,453-18651-S,487-7465-S,493-5964-S
able bodied	2-691-B
able seaman	2-572-B
ablebodied	2-638-B
ablegate	2-880-B
ablen	2-946-B
ableness	2-981-B
ablepsia	2-1068-B
ablet	2-1133-B
ablings	2-1229-B
ablins	2-1300-B
abloom	2-1339-B
abluent	2-1405-B
ablush	2-1516-B
ablution	2-1583-B
ablutionary	2-1862-B
ably	2-1894-B
abm	2-1978-B
abnegate	2-2085-B
abnegation	2-2245-B,409-10010-S
abnegator	2-2486-B
abnormal	2-2516-B
abnormal end	2-2672-B,2-2723-B
abnormal end of task	2-2781-B
abnormal end of transmission	2-2860-B
abnormal function	2-2935-B
abnormal propagation	2-3001-B
abnormal reflection	2-3060-B
abnormal refraction	2-3117-B
abnormal return address	2-3173-B
abnormal status	2-3246-B
abnormal termination	2-3301-B
abnormalcy	2-3359-B
abnormality	2-3510-B
abnormally	2-3565-B
abnormity	2-3644-B
abo	2-3693-B
abo system	2-3764-B
aboard	2-3900-B
abode	2-4502-B
abohm	2-4757-B
aboil	2-4813-B
abolish	2-4869-B
abolishable	2-5111-B
abolisher	2-5225-B
abolishment	2-5332-B
abolition	2-5432-B
abolitionary	2-5641-B
abolitionise	2-5675-B
abolitionism	2-5774-B
abolitionist	2-5862-B
abolitionize	2-5951-B
abomasum	2-6011-B
abominable	2-6158-B
abominable snowman	2-6412-B
abominableness	2-6537-B
abominably	2-6650-B
abominate	2-6728-B
abomination	2-6895-B
abominator	2-7135-B
abonent	2-7167-B
aboral	2-7233-B
aboriginal	2-7311-B
aboriginality	2-7685-B
aboriginally	2-7791-B
aborigine	2-7826-B
aborigines	2-7910-B
abort	2-8085-B
aborted	2-8302-B
aborticide	2-8403-B
abortifacient	2-8469-B
abortin	2-8586-B
abortion	2-8652-B
abortion mechanism	2-8997-B
abortionist	2-9045-B
abortive	2-9114-B
abortive subexit	2-9475-B
abortively	2-9534-B
abortiveness	2-9590-B
aboulia	2-9756-B
abound	2-9822-B
abounding	2-10075-B
about	2-10152-B,2-11974-B,88-17410-S,88-17511-S,200-7490-S,203-10818-S,260-32087-S,391-26335-S,396-31576-S,444-10273-S,481-15379-S,518-30390-S
about face	2-12000-B
about sledge	2-12208-B
about turn	2-12274-B
above	2-12363-B,466-13897-S
above board	2-14053-B
above cited	2-14165-B
above ground	2-14299-B
above mentioned	2-14476-B
above named	2-14614-B
aboveboard	2-13943-B
aboveground	2-14244-B
abovementioned	2-14539-B
abracadabra	2-14664-B
abrachia	2-14759-B
abrachiate	2-14819-B
abrachius	2-14875-B
abradant	2-14941-B
abrade	2-15038-B
abranchial	2-15129-B
abranchiate	2-15204-B
abrase	2-15256-B
abrasion	2-15308-B
abrasive	2-15446-B
abreact	2-15577-B
abreaction	2-15645-B
abreast	2-15726-B
abrego	2-15986-B
abridge	2-16060-B
abridgement	2-16275-B
abridger	2-16453-B
abridgment	2-16481-B
abroach	2-16534-B
abroad	2-16743-B,200-7632-S,203-11488-S
abrogable	2-17524-B
abrogate	2-17589-B
abrogation	2-17816-B
abrogative	2-17931-B
abrupt	2-17993-B
abrupt junction	2-18627-B
abrupt junction diode	2-18687-B
abruption	2-18769-B
abruptly	2-18848-B
abruptness	2-18948-B
abrupto	164-11998-S
abscess	2-19206-B
abscessed	2-19293-B
abscise	2-19362-B
absciss	2-19424-B
abscissa	2-19492-B
abscissae	2-19536-B
abscisse	2-19615-B
abscission	2-19691-B
abscond	2-19753-B
absconder	2-19851-B
abseil	2-19978-B
absence	2-20045-B
absence or presence	2-20573-B
absent	2-20649-B
absent minded	2-22673-B
absent mindedly	2-22731-B
absent mindedness	2-22801-B
absent service	2-21016-B
absent subscriber service	2-21088-B
absent transfer	2-21158-B
absent without leave	2-21212-B
absentation	2-21344-B
absentee	2-21453-B
absentee ballot	2-21630-B
absentee landlord	2-21805-B
absenteeism	2-22225-B
absentia	236-10519-S
absently	2-22619-B
absinth	2-22895-B
absinthe	2-23003-B
absinthian	2-23045-B
absolutary	2-23107-B
absolute	2-23176-B,118-6033-S
absolute address	2-23786-B
absolute address variable	2-23840-B
absolute addressing	2-23915-B
absolute altimeter	2-23995-B
absolute ampere	2-24057-B
absolute coordinate	2-24102-B
absolute data	2-24158-B
absolute electrometer	2-24208-B
absolute element	2-24273-B
absolute error	2-24326-B
absolute expression	2-24374-B
absolute file specifier	2-24432-B
absolute galvanometer	2-24507-B
absolute generation number	2-24566-B
absolute instruction	2-24633-B
absolute level	2-24720-B
absolute loader	2-24765-B
absolute majority	2-24816-B
absolute move	2-24930-B
absolute movement	2-24980-B
absolute name	2-25033-B
absolute ohm	2-25076-B
absolute order	2-25117-B
absolute path	2-25167-B
absolute path name	2-25215-B
absolute permeability	2-25273-B
absolute permittivity	2-25337-B
absolute phase	2-25408-B
absolute plotting	2-25465-B
absolute plotting unit	2-25534-B
absolute position	2-25597-B
absolute promise	2-25649-B
absolute temperature	2-25736-B
absolute tense	2-25826-B
absolute term	2-25886-B
absolute unit	2-25936-B
absolute value	2-25985-B
absolute value computer	3-0-B
absolute value function	3-73-B
absolute vector	3-137-B
absolute volt	3-185-B
absolute zero	3-228-B
absolutely	3-305-B
absolutely convergent	3-667-B
absolutely noncircular attribute	3-724-B
absolutely noncircular attribute grammar	3-812-B
absoluteness	3-920-B
absolution	3-1009-B
absolutism	3-1132-B
absolutist	3-1241-B
absolutistic	3-1344-B
absolvable	3-1379-B
absolve	3-1409-B
absolver	3-1794-B
absonant	3-1823-B
absorb	3-1978-B
absorbability	3-2436-B
absorbable	3-2511-B
absorbed	3-2660-B,409-10115-S
absorbed photon	3-2816-B
absorbed power	3-2862-B
absorbedly	3-2909-B
absorbedness	3-3000-B
absorbefacient	3-3033-B
absorbency	3-3181-B
absorbent	3-3213-B
absorber	3-3462-B,5-20367-S,155-2485-S,383-249-S,417-16621-S
absorbing	3-3600-B,431-23348-S
absorbing load	3-3820-B
absorbing state	3-3860-B
absorbingly	3-3909-B
absorptance	3-3939-B
absorption	3-3976-B,5-20421-S,33-9364-S,409-10227-S
absorption cell	3-4138-B
absorption circuit	3-4178-B
absorption coefficient	3-4223-B
absorption current	3-4275-B
absorption factor	3-4319-B
absorption index	3-4369-B
absorption law	3-4416-B
absorption loss	3-4465-B
absorption peak	3-4510-B
absorption spectrum	3-4552-B
absorption trap	3-4603-B
absorption wavemeter	3-4649-B
absorptive	3-4711-B
absorptive attenuator	3-4810-B
absorptive modulation	3-4869-B
absorptive surface	3-4924-B
absorptive transition	3-4973-B
