salique	- xem [03salic] 
salt-flux [01/'sɔlt,flʌks/]	[01* dtừ]\n- chất trợ dung dạng muối
salt-free [01/'sɔlt,fri:/]	[01* ttừ]\n- không muối
salt-gauge [01/'sɔlt,geidʒ/]	[01* dtừ]\n- xem [03salinometer] 
salt-horse [01/'sɔ:lt'hɔ:s/]	như [03salt junk]
saltigrade [01/'sæltigreid/]	[01* ttừ]\n- có chân nhảy (chân thích nghi với sự nhảy)\n[01* dtừ]\n- (động vật) nhện chân nhảy
saltimbanco [01/,sæltim'bæηkou/]	[01* dtừ]\n- thầy lang băm, thầy lang vườn
salt-industry [01/'sɔ:lt,indʌstri/]	[01* dtừ]\n- công nghiệp muối
saltiness [01/'sɔ:ltinis/]	[01* dtừ]\n- tính mặn; sự có muối\n- tính chua chát, tính châm chọc; tính sắc sảo tính hóm hỉnh
salting [01/'sɔ:ltiη/]	[01* dtừ]\n- sự ướp muối; sự phun muối; sự nhúng dung dịch muối
salting out [01/'sɔ:ltiη aut/]	[01* dtừ]\n- sự gầy kết tủa bằng muối; sự tách bằng muối
saltire [01/'sɔ:ltaiə(r) /]	[01* dtừ]\n- dấu X, như trên huy hiệu (của quý tộc, của trường đại học hay học viện) 
saltish [01/'sɔ:lti∫/]	[01* ttừ]\n- hơi mặn, mằn mặn
salt-junk [01/'sɔ:lt dʒʌηk/]	[01* dtừ]\n- (lóng) thịt bò ướp muối
salt-lake [01/'sɔ:lt,leik/]	[01* dtừ]\n- hồ nước mặn
salt-lands [01/'sɔ:lt,lændz/]	[01* dtừ] s/n\n- bãi muối; đất mặn
salt-lick [01/sɔ:lt'lik/]	[01* dtừ]\n- bãi liếm (nơi đất mặn, dã thú thường đến liếm muối) 
salt-marsh [01/'sɔ:lt'mɑ:∫/]	[01* dtừ]\n- đất ngập mặn, vùng ngập mặn
salt-meat [01/'sɔ:lt,mi:t/]	như [03salt junk]
salt-mine [01/'sɔ:lt'main/]	[01* dtừ]\n- mỏ muối
saltness [01/'sɔ:ltnis/]	[01* dtừ]\n- sự chứa vị muối, sự có vị muối; tình trạng có muối, tính mặn\n- tình trạng có hương vị của biển cả\n- sự sắc sảo; sự chua chát; sự sinh động, sự mạnh mẽ (về trí tuệ, lời nói) 
salt-pan [01/'sɔ:lt'pæn/]	[01* dtừ]\n- hồ muối
saltpeter [01/sɔ:lt'pi:tə/]	- Xanpet, nitrat kali (bột trắng mặn dùng làm thuốc súng, để bảo quản thức ăn và làm thuốc chữa bệnh) 
saltpetre [01/sɔ:lt'pi:tə/]	[01* dtừ]\n- Xanpet, kali nitrat\n[04! Chili saltpetre; cubic saltpetre]\n- Natri nitrat
salt-pit [01/'sɔ:lt'pit/]	[01* dtừ]\n- hầm khai thác muối
salt-pond [01/'sɔ:ltpɔnd/]	[01* dtừ]\n- ruộng muối
salt-shaker [01/'sɔ:lt'∫eikə/]	[01* dtừ]\n- lọ muối (lọ nhỏ đựng muối để trên bàn) 
salt-spoon [01/'sɔ:lt'spu:n/]	[01* dtừ]\n- thìa xúc muối
salt-spring [01/'sɔ:lt,spriη/]	[01* dtừ]\n- suối nước mặn
salt-tolerant [01/'sɔ:lt 'tɔlərənt/]	[01* ttừ]\n- chịu muối; chịu nước mặn
saltus [01/'sɔ:ltəs/]	[01* dtừ]\n- sự gián đoạn\n- sự chuyển biến đột ngột
saltus-function	- hàm bước nhảy
saltwater [01/'sɔ:lt,wɔ:tə/]	- xem [03salt-water] 
salt-water [01/'sɔ:lt,wɔ:tə/]	[01* ttừ]\n- (thuộc) biển; sống ở biển
salt-well [01/'sɔ:lt'wel/]	[01* dtừ]\n- giếng muối
salt-works [01/'sɔ:lt'wə:ks/]	[01* dtừ]\n- xí nghiệp muối
saltwort [01/'sɔ:ltwə:t/]	[01* dtừ]\n- (thực vật) cỏ lông lợn
salty [01/'sɔ:lti/]	[01* ttừ]\n- (thuộc) muối; có muối, mặn\n- có hương vị của biển cả\n- chua chát, châm biếm; sắc sảo, hóm hỉnh
salubrious [01/sə'lu:briəs/]	[01* ttừ]\n- lành, tốt (khí hậu, không khí) 
salubriousness [01/sə'lu:briəsnis/]	[01* dtừ]\n- sự lành; sự tốt; tình trạng đem lại sức khoẻ (của khí hậu, không khí) 
salubrity [01/sə'lu:briti/]	[01* dtừ]\n- tính chất tốt lành (khí hậu, không khí) 
saluki [01/sə'lu:ki/]	[01* dtừ]\n- chó săn xaluki (giống chó A-rập) 
salutariness [01/'sæljutərinis/]	[01* dtừ]\n- tính bổ ích, tính có lợi\n- (hiếm) tính chất tốt lành (khí hậu) 
