sheep-dip [01/'∫i:p'dip/]	[01* dtừ]\n- thuốc nước tắm cho cừu (đề trừ bọ và bảo vệ lông) 
sheep-dog [01/'∫ip'dɔg/]	[01* dtừ]\n- chó chăn cừu
sheep-farmer [01/'∫i:p'fɑ:mə/]	như [03flock-master]
sheep-fold [01/'∫i:p'flould/]	như [03sheep-cote]
sheep-hook [01/'∫i:p'huk/]	[01* dtừ]\n- gậy (quắm của người) chăn cừu
sheepish [01/'∫i:pi∫/]	[01* ttừ]\n- ngượng ngập, lúng túng, rụt rè, bẽn lẽn
sheepishly [01/'∫i:pi∫li/]	[01* phtừ]\n- bẽn lẽn, e lệ, ngượng ngùng
sheepishness [01/'∫i:pi∫nis/]	[01* dtừ]\n- sự ngượng ngập, sự lúng túng, sự rụt rè, sự bẽn lẽn
sheepman [01/'∫i:pmən/]	[01* dtừ]\n- người nuôi cừu\n- người chăn cừu
sheep-master [01/'∫i:p'mɑ:stə/]	như [03flock-master]
sheep-pox [01/'∫i:p'pɔks/]	[01* dtừ]\n- bệnh đậu cừu
sheep-run [01/'∫i:p'rʌn/]	[01* dtừ]\n- đồng cỏ lớn nuôi cừu (ở Uc) 
sheep's eyes [01/'∫i:ps,eiz/]	[01* dtừ]\n- đôi mắt nhìn đắm đuối
sheep-shank [01/'∫i:p ∫æηk/]	[01* dtừ]\n- (hàng hải) nút chân cừu (để thu ngắn dây thừng)\n- chân cừu; vật vô giá trị
sheepshank [01/'∫i:p∫æηk/]	[01* dtừ]\n- cẳng cừu\n- vật gầy gò khẳng khiu\n- (hàng hải) nút cẳng cừu (một kiểu nút để thu ngắn dây thừng) 
sheep's-head [01/'∫i:ps'hed/]	[01* dtừ]\n- người khờ dại, người đần độn
sheep-shearer [01/'∫i:p'∫iərə/]	[01* dtừ]\n- người xén lông cừu\n- kéo xén lông cừu, máy xén lông cừu
sheep-shearing [01/'∫i:p'∫iəriη/]	[01* dtừ]\n- sự xén lông cừu\n- hội xén lông cừu
sheepskin [01/'∫i:pskin/]	[01* dtừ]\n- da cừu (để đóng sách...)\n- quần áo (bằng) da cừu\n- chăn da cừu\n- giấy da cừu\n- (Mỹ),(tục) bằng, văn bằng
sheep-walk [01/'∫i:p'wɔ:k/]	[01* dtừ]\n- đồng cỏ nuôi cừu
sheer [01/∫iə/]	[01* ttừ]\n- chỉ là; đúng là; hoàn toàn, tuyệt đối\n[02= it is sheer waste] thật chỉ là phí công\n[02= a sheer impossibility] một sự hoàn toàn không thể có được\n- dốc đứng, thẳng đứng\n[02= sheer coast] bờ biển dốc đứng\n- mỏng dính, trông thấy da (vải)\n[01* phtừ]\n- hoàn toàn, tuyệt đối\n- thẳng, thẳng đứng\n[02= torn sheer out by the roots] bật thẳng cả rễ lên\n[02= to rise sheer from the water] đâm thẳng từ nước lên\n[01* dtừ]\n- (Mỹ) vải mỏng dính, vải trông thấy da\n- quần áo may bằng vải mỏng dính\n[01* dtừ]\n- (hàng hải) sự cong vểnh lên (của con tàu ở phía mũi và đuôi)\n- sự chạy chệnh (khỏi hướng đã định)\n[01* nđtừ]\n- (hàng hải) chạy chệch (khỏi hướng đã định)\n[04! to sheer off]\n- bỏ mà đi, rời, tránh (một người, một vấn đề) 
sheer-legs [01/∫iə'legz/]	như [03sheers]
sheers [01/∫iəz/]	[01* dtừ s/n]\n- (hàng hải) cần trục nạng
sheet [01/∫i:t/]	[01* dtừ]\n- khăn trải giường\n[02= to get between the sheets] đi ngủ\n- lá, tấm, phiến, tờ\n[02= a sheet of iron] một tấm sắt\n[02= loose sheet] giấy rời\n- tờ báo\n- dải\n[02= a sheet of ice] một dải băng\n- (địa) vỉa\n- (hàng hải) dây lèo (để điều chỉnh buồm)\n- (thơ ca) buồm\n[04! to be a sheet in the wind]\n- (lóng) ngà ngà say\n[04! to be three sheets in the wind]\n- (lóng) say bí tỉ, say khướt\n[01* ngđtừ]\n- đậy, phủ, trùm kín\n[02= to sheet over a waggon] phủ kín một toa xe bằng vải bạt\n[02= the town was sheeted over with snow] tuyết phủ đầy thành phố\n- kết lại thành tấm, hợp lại thành phiến\n[02= sheeted rain] mưa như đổ nước\n- (hàng hải) giữ buồm bằng dây lèo\n[04! to sheet home]\n- buộc căng dây lèo buồm
sheet copper [01/'∫i:t'kɔpə/]	[01* dtừ]\n- đồng lá
sheet glass [01/'∫i:t'glɑ:s/]	[01* dtừ]\n- kính tấm
sheet iron [01/'∫i:t'aiən/]	[01* dtừ]\n- sắt lá
sheet lightning [01/'∫i:t'laitniη/]	[01* dtừ]\n- sự chớp loé ra như một mảng ánh sáng rộng trên trời
sheet metal [01/'∫i:t'metl/]	[01* dtừ]\n- kim loại tấm, kim loại lá
sheet mill [01/'∫i:t'mil/]	[01* dtừ]\n- nhà máy cán (kim loại) 
sheet music [01/'∫i:t'mju:zik/]	[01* dtừ]\n- bản nhạc bướm
sheet-anchor [01/'∫i:t'æηkə/]	[01* dtừ]\n- neo phụ\n- chỗ dựa chính, sự bảo đảm chính; người có thể dựa vào (khi lâm nguy...) 
sheeter [01/'∫i:tə/]	[01* dtừ]\n- máy cắt tấm
sheeting [01/'∫i:tiη/]	[01* dtừ]\n- vải làm khăn trải giường\n- tấm để phủ mặt; tấm để lót\n[02= copper sheeting] tấm đồng để phủ mặt; tấm đồng để lót\n- sự dàn thành lá, sự dàn thành tấm
sheeting-plank [01/'∫i:tiη'plæηk/]	[01* dtừ]\n- gỗ tấm (để lợp nhà) 
sheet-sham [01/'∫i:t'∫æm/]	[01* dtừ]\n- khăn phủ giường (trải lên trên khăn trải giường, khi ngủ thì bỏ ra) 
shef	- (tô pô) bó, chùm\n- s. of planes s. chùm mặt phẳng\n- coherent s. bó đính, bó mạch lạc\n- whelk s. bó nhão
sheik [01/∫eik/]	như [03sheikh]
sheikdom [01/'∫eikdəm/]	như [03sheikhdom]
sheikh [01/∫eik/]	[01* dtừ]\n- tù trưởng, tộc trưởng; trưởng thôn (A-rập)\n- người hay bắt nạt vợ\n- (lóng) người bảnh trai, anh chàng đào hoa
sheikhdom [01/'∫eikdəm/]	[01* dtừ]\n- lãnh thổ do một sheikh cai trị
sheila [01/'∫i:lə/]	[01* dtừ]\n- (Uc, Neusealand) cô gái, phụ nữ trẻ
shekaree [01/∫i'kæri/]	như [03shikari]
shekarry [01/∫i'kæri/]	như [03shikari]
shekel [01/'∫ekl/]	[01* dtừ]\n- đồng seken (tiền Do thái xưa)\n- (số nhiều)(tục) tiền của, của cải
sheldrake [01/'∫eldreik/]	[01* dtừ]\n- (động vật) vịt trời tađocna
shelduck [01/'∫eldʌk/]	[01* dtừ]\n- (động vật) loại vịt hoang có lông màu sáng sống ở vùng ven biển
shelf [01/∫elf/]	như [03shelves]
shelf-life [01/'∫elf'laif/]	[01* dtừ]\n- thời gian mà một mặt hàng cất giữ còn sử dụng được; thời hạn sử dụng
shelf-mark [01/'∫el'mɑ:k/]	[01* dtừ]\n- dấu sách, ký hiệu sách, số cốt của sách (con số đánh trên quyển sách để chỉ rõ nó phải đứng ở chỗ nào trong thư viện) 
shell [01/∫el/]	[01* dtừ]\n- vỏ; bao; mai\n[02= to retire into one's shell] rút vào vỏ của mình\n[02= to come out of one's shell] ra khỏi vỏ, chan hoà với mọi người\n- vỏ tàu; tường nhà\n- quan tài trong\n- thuyền đua\n- đạn trái phá, đạn súng cối; (Mỹ) đạn\n- đốc kiếm\n- (như) [03shell-jacket]\n- (lý) ; (hoá) vỏ, lớp\n[02= ion shell] vỏ ion\n[02= electron shell] lớp electron\n- nét đại cương (một kế hoạch)\n- vỏ bề ngoài\n- (thơ ca) đàn lia\n[01* đtừ]\n- bóc vỏ, lột vỏ (quả đậu, tôm...) ; nhể (ốc)\n[02= to shell peas] bóc vỏ đậu\n- phủ vỏ sò, lát bằng vỏ sò\n- bắn pháo, nã pháo\n[04! to shell off]\n- tróc ra\n[04! to shell out]\n- (lóng) trả tiền, xuỳ tiền
she'll [01/∫i:l/]	- (vt) của [02she wil, she shall] 
shell bean [01/'∫el'bi:n/]	[01* dtừ]\n- đậu ăn hột (chỉ ăn hột, không ăn vỏ ngoài) 
shell game [01/'∫el'geim/]	[01* dtừ]\n- trò cua cá, trò bài tây
shellac [01/∫ə'læk, '∫elæk/]	[01* dtừ]\n- Senlăc\n[01* ngđtừ]\n- quét senlăc\n- (Mỹ),(lóng) đánh gục, đánh bại hoàn toàn
shellacking [01/∫ə'lækiη/]	[01* dtừ]\n- (Mỹ),(lóng) sự quất, sự đánh đòn; trận đòn\n- sự thất bại hoàn toàn
shellback [01/'∫elbæk/]	[01* dtừ]\n- (hàng hải),(lóng) thuỷ thủ già, thuỷ thủ có kinh nghiệm\n- người đi bằng tàu biển qua xích đạo
shell-bark [01/'∫el'bɑ:k/]	như [03shagbark]
shelled [01/∫eld/]	[01* ttừ]\n- có vỏ, có mai, có mu\n- có nhiều vỏ sò\n- đã bóc vỏ, đã lột vỏ (đậu) 
shell-fire [01/∫el'faiə/]	[01* dtừ]\n- sự nã trái phá
shellfish [01/'∫elfi∫/]	[01* dtừ]\n- loài sò hến\n- loài tôm cua
shell-heap [01/'∫el'hi:p/]	[01* dtừ]\n- đống vỏ sò (thời tiền sử) 
shelling [01/'∫eliη/]	[01* dtừ]\n- sự bắn pháo, sự nã pháo
shell-jacket [01/'∫el'dʒækit/]	[01* dtừ]\n- áo bluzông (của sĩ quan) 
shell-lime [01/'∫el'laim/]	[01* dtừ]\n- vôi vỏ sò (tôi từ vỏ sò hến) 
shell-mound [01/'∫el'maund/]	như [03shell-heap]
shell-pink [01/'∫el piηk/]	[01* dtừ]\n- màu hồng
shell-proof [01/'∫el'pru:f/]	[01* ttừ]\n- chống được đạn đại bác, chống được trái phá; trái phá bắn không thủng
shell-shock [01/'∫el'∫ɔk/]	[01* dtừ]\n- sự bị sốc vì tiếng đại bác
shell-shocked [01/'∫el'∫ɔkt/]	[01* ttừ]\n- bị sốc vì tiếng súng đại bác\n- bị suy nhược thần kinh vì chiến đấu
shell-struck [01/'∫el'strʌk/]	[01* ttừ]\n- trúng đạn pháo
shell-work [01/'∫el'wə:k/]	[01* dtừ]\n- sự trang trí bằng vỏ sò
shelly [01/'∫eli/]	[01* ttừ]\n- (thuộc) vỏ; (thuộc) bao; (thuộc) mai\n- có nhiều vỏ sò
