stymy [01/'staimi/]	- xem [03stymie] 
subdue [01/səb'dju:/]	[01* ngđtừ]\n- chinh phục, khuất phục; nén\n[02= to subdue nature] chinh phục thiên nhiên\n[02= to subdue one's enemy] chinh phục kẻ thù\n[02= to subdue one's passions] nén dục vọng của mình\n- ((thường) động tính từ quá khứ) làm dịu đi, làm bớt đi\n[02= subdued light] ánh sáng dịu\n[02= subdued manners] cách cư xử dịu dàng\n- (Mỹ) vỡ hoang, cày cấy (đất) 
subdued [01/səb'dju:d/]	[01* ttừ]\n- dịu; khẽ\n- thờ ơ
subduedly [01/səb'dju:dli/]	- xem [03subdue] 
subduedness [01/səb'dju:dnis/]	[01* dtừ]\n- sự được làm dịu bớt (màu, ánh sáng...) 
subedit [01/sʌb'edit/]	[01* ngđtừ]\n- sửa lại (một bài báo) cho đúng
subeditor [01/,sʌb'editə/]	[01* dtừ]\n- phó chủ bút, thư ký toà soạn, phó tổng biên tập, thư ký ban biên tập
subentry [01/'sʌb,entri/]	[01* dtừ]\n- mục phụ (dưới mục chính) 
subepidermal [01/,sʌb,epi'də:məl/]	[01* ttừ]\n- (phẫu) dưới biểu bì
subequal [01/,sʌb'i:kwəl/]	[01* ttừ]\n- gần bằng nhau, gần bình quân
subequatorial [01/'sʌb,ekwə'tɔ:riəl/]	[01* ttừ]\n- cận xích đạo
subequilateral [01/'sʌb,i:kwi'lætərəl/]	[01* ttừ]\n- (toán) gần đều
suber [01/'su:bə/]	[01* dtừ]\n- sube; (mô) bần
suberect [01/,sʌbi'rekt/]	[01* ttừ]\n- gần thẳng
subereous [01/su'biəriəs/]	như [03suberose]
suberic [01/su'berik/]	như [03suberose]
suberin [01/'sju:bərin/]	[01* dtừ]\n- (thực vật) bẩn, chất bẩn
suberisation [01/,sju:bərai'zei∫n/]	như [03suberization]
suberization [01/,sju:bərai'zei∫n/]	[01* dtừ]\n- sự thành chất bần
suberized [01/'sju:bəraizd/]	[01* ttừ]\n- hoá thành bần
suberose [01/'su:bərous/]	[01* ttừ]\n- có bần; như bần, giống bần
suberous [01/'sjubərəs/]	[01* ttừ]\n- xem [03suberose] 
sub-exchange [01/'sʌb'ikst∫einʒ/]	[01* dtừ]\n- trạm điện thoại phụ
subfamily [01/'sʌb,fæmili/]	[01* dtừ]\n- (sinh vật) phân họ
subfebrile [01/'sʌbri:brail/]	[01* dtừ]\n- (y) sốt nhẹ
subffield	- trường con
subfix [01/'sʌb,fiks/]	[01* dtừ]\n- chữ viết ở dưới hay cạnh chữ khác
subflavour [01/,sʌb'fleivə/]	[01* dtừ]\n- hương vị phụ
subflour [01/,sʌb'flɔ:/]	[01* dtừ]\n- sàn lót; sàn dưới
subform [01/'sʌbfɔ:m/]	[01* dtừ]\n- (sinh vật) phân dạng
subfoundation [01/,sʌbfaun'dei∫n/]	[01* dtừ]\n- nền (nhà) 
subframe [01/,sʌb'freim/]	[01* dtừ]\n- khung sàn phụ; sườn khung phụ
subfreezing [01/sʌb'fri:ziη/]	[01* ttừ]\n- dưới mức đông giá\n[02= subfreezing weather] thời tiết dưới mức đông giá
subfrequency [01/'sʌb'frikwənsi/]	[01* dtừ]\n- tần số phụ
subfusc [01/'sʌbfʌsk/]	[01* ttừ]\n- xám xịt, tối màu (quần áo...) 
subfusk [01/'sʌbfʌsk/]	như [03subfusc]
subgelatinous [01/,sʌbdʒi'lætinəs/]	[01* ttừ]\n- gần như keo, hơi dính
subgene [01/sʌb'dʒen/]	[01* dtừ]\n- gen phụ
subgenus [01/,sʌb'dʒi:nəs/]	[01* dtừ]\n- (sinh vật) phân giống
subgeodesic	- (hình học) đường thứ trắc địa
subglacial [01/,sʌb'glɔbjulə/]	[01* ttừ]\n- ở dưới mặt băng
subglobular [01/,sʌb'glɔbjulə/]	[01* ttừ]\n- gần hình cầu
subgrade [01/,sʌb,greid/]	[01* dtừ]\n- mặt đất san bằng để đắp nền
subgrader [01/,sʌb,greidə/]	[01* dtừ]\n- máy san nền đất
subgrading [01/,sʌb,greidiη/]	[01* dtừ]\n- sự san nền đất
subgraph	- đồ thị con; (tô pô) đồ thị hình con
subgroup [01/'sʌbgru:p/]	[01* dtừ]\n- (sinh vật) phân nhóm
subharmonic [01/'sʌbha:'mɔnik/]	[01* dtừ]\n- (vô tuyến) hài bậc ba\n[01* ttừ]\n- (toán) điều hoà dưới nước
