comfortably	88-22851-B
comforter	88-23049-B
comfortful	88-23282-B
comforting	88-23352-B
comfortingly	88-23431-B
comfortless	88-23463-B
comfy	88-23612-B
comic	88-23678-B,219-17974-S,413-13427-S
comic strip	88-24060-B
comical	88-24104-B
comicality	88-24223-B
comically	88-24326-B
comics	88-24396-B
cominform	88-24474-B
coming	88-24573-B,223-25607-S,407-23736-S,457-21514-S,503-20298-S
coming in	88-24842-B
coming out	88-24911-B
comintern	88-24982-B
comique	314-18181-S
comitant	88-25097-B
comitia	88-25130-B
