others [01/'ʌđəz/]	- đại từ\n- những người khác; những vật khác\n[02= some people like cars, others like motorbikes] một số người thích xe ô tô, những người khác thì thích xe gắn máy\n[02= we must help others needier than ourselves] chúng ta phải giúp đỡ những người khác túng thiếu hơn chúng ta\n- (the others) những người hoặc vật còn lại trong một nhóm; những người/vật khác/kia\n[02= he is the only person to help poor pupils - none of the others bothered] ông ta là người duy nhất giúp đỡ học sinh nghèo - những người khác chẳng ai quan tâm đến\n[02= I went swimming while the others played tennis] tôi đi bơi, còn những người khác chơi quần vợt\n[02= I can't do the fourth and fifth questions but I've done all the others] tôi không làm được câu hỏi thứ tư và thứ năm, nhưng đã làm được tất cả các câu hỏi khác
otherwhence [01/'ʌđə wens/]	[01* phtừ]\n- từ nơi khác
otherwhere [01/'ʌđə,weə/]	[01* phtừ]\n- ở nơi khác
otherwhile [01/'ʌđə,wail/]	[01* phtừ]\n- vào lúc khác
otherwise [01/'ʌđəwaiz/]	[01* phtừ]\n- khác, cách khác\n[02= he could not have acted otherwise] anh ta đã không hành động khác được\n- nếu không thì...\n[02= seize the chance, otherwise you will regret it] nắm lấy dịp đó, nếu không anh sẽ hối tiếc\n- mặt khác, về mặt khác\n[02= he is unruly, but not otherwise blameworthy] nó ngang ngạnh, nhưng về mặt khác thì không đáng khiển trách
otherwise-minded [01/'ʌđəwaiz'maindid/]	[01* ttừ]\n- có xu hướng khác, có ý kiến khác (với thông thường) 
other-world [01/'ʌðəwə:ld/]	như [03other-worldly]
other-worldly [01/'ʌđəwə:ldli/]	[01* ttừ]\n- (thuộc) thế giới bên kia, (thuộc) kiếp sau
Othman [01/'ɔθmən/]	- xem [03Ottoman] 
otic [01/'outik/]	[01* ttừ]\n- (thuộc) tai
otidium [01/ɔ'tidiəm/]	[01* dtừ]\n- túi thính giác; túi thăng bằng (bình nang) 
otiose [01/'outious/]	[01* ttừ]\n- lười biếng\n- rỗ rãi\n- (hiếm) vô ích, vô tác dụng
otioseness [01/'outiousnis/]	[01* dtừ]\n- sự lười biếng\n- sự rỗi rãi\n- (hiếm) tính chất vô ích, tính chất vô tác dụng
otiosity [01/'outiousiti/]	như [03otioseness]
otitis [01/ou'taitis/]	[01* dtừ]\n- (y) viêm tai
otitis media [01/ou'taitis'mediə/]	[01* dtừ]\n- (y) viêm tai giữa
oto-	- xem [03ot-] 
otocyst [01/'outəsis/]	[01* dtừ]\n- xem [03otidium] 
otolaryngology [01/'outə,læriη'gɔlədʒi/]	[01* dtừ]\n- (y) khoa tai họng
otolith	[01* dtừ]\n- sỏi thính giác; sỏi tai
otolithic [01/,outə'liθik/]	[01* ttừ]\n- xem [03otolith], chỉ thuộc về
otological [01/,outə'lɔdʤikel/]	[01* ttừ]\n- (y)(thuộc) khoa tai
otologist [01/ou'tɔlədʤist/]	[01* dtừ]\n- (y) bác sĩ khoa tai
otology [01/ou'tɔlədʒi/]	[01* dtừ]\n- (y) khoa tai
otolpathy [01/ou'tɔpəθi/]	[01* dtừ]\n- bệnh tai
otophone [01/'outəfoun/]	[01* dtừ]\n- ống nghe (cho người nghễnh ngãng...) 
otorhinolaryngologist [01/'outə,rainəlæriη'gɔlədʒist/]	[01* dtừ]\n- bác sĩ chuyên khoa tai mũi họng
otorhinolaryngology [01/'outə,rainəlæriη'gɔlədʒi/]	[01* dtừ]\n- (y) khoa tai mũi họng
otorrhea [01/,outə'ri:ə/]	[01* dtừ]\n- (y) chứng chảy nước tai
otosclerosis [01/,outəskliə'rousis/]	[01* dtừ]\n- (y) chứng xơ cứng tai
otoscope [01/'outəskoup/]	[01* dtừ]\n- (y) ống soi tai
ottava rima [01/ɔt'tɑ:və'ri:mə/]	[01* dtừ]\n- đoạn thơ tám câu
otter [01/'ɔtə/]	[01* dtừ]\n- (động vật) con rái cá\n- bộ lông rái cá
otter-dog [01/'ɔtədɔg/]	như [03otter-hound]
otter-hound [01/'ɔtə dɔg/]	[01* dtừ]\n- chó săn rái cá
otter-skin [01/'ɔtə skin/]	[01* dtừ]\n- da rái cá
otter-spear [01/'ɔtəspiə/]	[01* dtừ]\n- cái lao đâm rái cá
otto [01/'ɔtou/]	như [03attar]
ottoman [01/'ɔtəmən/]	[01* dtừ]\n- ghế dài có đệm
ou [01/,ou 'ju:/]	[01* dtừ]\n- vt của [03Open University]\n- trường đại học mở
ouananiche [01/,wanəni:∫/]	[01* dtừ]\n- (động vật) cá hồi
oubit [01/'u:bit/]	[01* dtừ]\n- (như) [03woobut] 
oubliette [01/,u:bli'et/]	[01* dtừ]\n- hầm giam bí mật
ouch [01/aut∫/]	[01* dtừ]\n- (cổ) mốc, khoá (có nạm châu báu)\n- ngọc nạm, kim cương nạm (vào nữ trang) 
ought [01/ɔ:t/]	[01* trợ đtừ]\n- phải\n[02= we ought to love our fatherland] chúng ta phải yêu tổ quốc\n- nên\n[02= you ought to go and see him] anh nên đi thăm nó\n[01* dtừ]\n- nuôi,4æʃ!æɔ5ɜɜ8θaught
ought to [01/'ɔ:t tə/]	- (đtừ khiếm khuyết, dạng phủ định là [03ought not], rút gọn thành [03oughtn't])(chỉ ra sự bắt buộc) phải\n[02= we ought to love our fatherland] chúng ta phải yêu tổ quốc, such things ought not to be allowed những chuyện như vậy không thể cho phép; (chỉ ra lời khuyên hoặc kiến nghị) nên\n[02= you ought to go and see him] anh nên đi thăm nó; hẳn là, chắc là\n[02= if he started at nine, he ought to be here by now] nếu nó đi lúc chín giờ thì hẳn bầy giờ nó đã tới đầy rồi
Ouija [01/'wi:dʒə/]	[01* dtừ]\n- bảng chữ để xin thẻ thánh, bảng thẻ ((cũng) [03ouija board] ) 
Ouija board [01/'wi:dʒə'bɔ:d/]	- (Cách viết khác: [03Ouija]) [01* dtừ]\n- như [03Ouija] 
ounce [01/auns/]	[01* dtừ]\n- (vt) oz\n- Aoxơ (đơn vị đo lường bằng 28, 35 g)\n[01* (thơ ca)]\n- giống mèo rừng\n- (động vật) báo tuyết
ounce metal [01/auns 'metl/]	[01* dtừ]\n- hợp kim đồng (với chì, thiếc) 
ouphe [01/ouf/]	[01* dtừ]\n- yêu ma; ác quỉ
our [01/'auə(r) /]	[01* ttừ sở hữu]\n- của chúng ta, của chúng tôi, của chúng mình\n[02= in our opinion] theo ý kiến chúng tôi\n- của trẫm (vua chúa...)\n[04! Our Father]\n- thượng đế\n[04! Our Saviour]\n- Đức Chúa Giê-xu (đối với người theo đạo Thiên chúa)\n[04! Our Lady]\n- Đức Mẹ đồng trinh (đối với người theo đạo Thiên chúa) 
ours [01/'auəz/]	[01* đại từ sở hữu]\n- cái của chúng ta, cái của chúng tôi, cái của chúng mình\n[02= ours is a large family] gia đình chúng tôi là một gia đình lớn\n- trung đoàn của chúng ta, đội của chúng ta, trung đoàn của chúng tôi, đội của chúng tôi\n[02= Jones of ours] Giôn ở đội của chúng tôi
ourself [01/,auə'self/]	[01* đại từ phản thân]\n- số ít của ourselves (chỉ dùng khi một vị vua chúa tự xưng, hoặc trường hợp này cũng dùng số nhiều khi một nhà báo, một người bình thường tự xưng) 
