hyacinth	228-2982-B,206-14400-S
hyaena	228-3141-B
hyaline	228-3179-B
hyalite	228-3319-B
hyaloid	228-3394-B
hyaloplasm	228-3515-B
hyaluronic acid	228-3591-B
hyaluronidase	228-3679-B
hybrid	228-3755-B
hybrid vigour	228-3864-B
hybridisation	228-3918-B
hybridise	228-3989-B
hybridism	228-4036-B
hybridist	228-4096-B
hybridity	228-4172-B
hybridization	228-4219-B
hybridize	228-4281-B
hybris	228-4414-B
hydatid	228-4468-B
hyde	255-999-S
hydra	228-4552-B
hydra headed	228-4951-B
hydragyrism	228-4796-B
hydragyrum	228-4881-B
hydrallazine	228-5131-B
hydrangea	228-5228-B
hydrant	228-5320-B,178-28413-S
hydrargyric	228-5401-B
hydrargyrism	228-5495-B
hydrargyrum	228-5582-B
hydrastine	228-5657-B
hydrastinine	228-5723-B
hydrate	228-5794-B
hydration	228-5900-B
hydraulic	228-5969-B
hydraulic ram	228-6328-B
hydraulically	228-6408-B
hydraulics	228-6503-B
hydrazide	228-6593-B
hydrazine	228-6653-B
hydrazoic acid	228-6712-B
hydrib	228-6789-B
hydric	228-6817-B
hydride	228-6887-B
hydro	228-7014-B
hydroacoustics	228-7130-B
hydroaeroplane	228-7203-B
hydrobiologist	228-7297-B
hydrobiology	228-7379-B
hydrocarbon	228-7464-B
hydrocarbonaceous	228-7535-B
hydrocephalic	228-7625-B
hydrocephalus	228-7713-B
hydrochloric	228-7817-B
hydrocortisone	228-7928-B
hydrocyanic	228-7997-B
hydrodynamic	228-8107-B,228-8152-B
hydrodynamical	228-8214-B
hydrodynamics	228-8355-B
hydroelectric	228-8498-B
hydroelectrically	228-8566-B
hydroelectricity	228-8672-B
hydrofluoric	228-8746-B
hydrofluoric acid	228-8859-B
hydrofoil	228-8938-B
hydrogen	228-9013-B,217-29032-S
hydrogen bomb	228-9146-B
hydrogenase	228-9236-B
hydrogenate	228-9308-B
hydrogenation	228-9374-B
hydrogenise	228-9448-B
hydrogenize	228-9504-B
hydrogenous	228-9560-B
hydrogeology	228-9650-B
hydrographer	228-9755-B
hydrographic	228-9828-B
hydrographical	228-9888-B
hydrography	228-9972-B
hydroid	228-10038-B
hydrokinetic	228-10173-B
hydrokinetics	228-10296-B
hydrolase	228-10426-B
hydrologic	228-10493-B
hydrological	228-10566-B
hydrology	228-10626-B
hydrolysis	228-10686-B
hydrolyte	228-10757-B
hydrolytic	228-10821-B
hydrolyze	228-10889-B
hydromagnetic	228-10949-B
hydromancy	228-11029-B
hydromania	228-11097-B
hydromechanical	228-11176-B
hydromechanics	228-11269-B
hydromedusa	228-11374-B
hydromedusan	228-11487-B
hydromedusoid	228-11574-B
hydromel	228-11659-B
hydrometallurgy	228-11723-B
hydrometalurgical	228-11816-B
hydrometeor	228-11926-B
hydrometeorological	228-12038-B
hydrometeorology	228-12114-B
hydrometer	228-12177-B
hydrometric	228-12260-B
hydrometrical	228-12357-B
hydrometry	228-12417-B
hydromorphic	228-12501-B
hydronephrosis	228-12571-B
hydropathic	228-12659-B
hydropathy	228-12776-B
hydroperoxide	228-12862-B
hydrophane	228-12926-B
hydrophilic	228-12981-B
hydrophilous	228-13080-B
hydrophobia	228-13188-B
hydrophobicity	228-13259-B
hydrophone	228-13359-B
hydrophyte	228-13437-B
hydropic	228-13488-B
hydroplane	228-13539-B
hydroponic	228-13674-B
hydroponics	228-13792-B
hydropsy	228-13934-B
hydroquinone	228-13992-B
hydroscope	228-14063-B
hydroscopic	228-14133-B
hydroscopicity	228-14189-B
hydrosphere	228-14284-B
hydrospheric	228-14374-B
hydrostatic	228-14450-B
hydrostatics	228-14513-B
hydrostherapeutic	228-14609-B
hydrotherapeutic	228-14698-B
hydrotherapy	228-14836-B
hydrothermal	228-14893-B
hydrothorax	228-14997-B
