belt highway	[01* dtừ]\n- xem [03beltway] 
bespoken [01/bi'spi:k/]	[01* (bất qui tắc) ngđtừ] [03bespoke] /bi'spouk/; bespoke, bespoken\n- /bi'spoukn/\n- đặt trước, giữ trước, đặt (hàng)\n- chứng tỏ, tỏ ra; cho biết\n[02= his polite manners bespeak him (to be) a well-bred man] tác phong lễ phép của anh ấy chứng tỏ anh là con nhà gia giáo\n- (thơ ca) nói với (ai) 
besprent [01/bi'sprent/]	[01* ttừ]\n- (thơ ca) rải rác\n[02= besprent with flowers] rải rác hoa (cánh đồng) 
besprinkle [01/bi'spriηkl/]	[01* ngđtừ]\n- vảy, rắc, rải
best [01/best/]	[01* (bất qui tắc) ttừ, số nhiều của] [03good]\n- tốt nhất, hay nhất, đẹp nhất, giỏi nhất\n[02= the best thing to do] việc làm tốt nhất, việc làm có kết quả nhất\n[02= to put on one's best clothes] thắng bộ đẹp nhất\n[04! the best part]\n- đại bộ phận\n[02= the best part of the year] phần lớn thời gian trong năm\n[04! to put one's best leg (foot) foremost]\n- đi thật nhanh, đi ba chân bốn cẳng\n- (bóng) làm công việc mình thành thạo nhất\n[01* phtừ, số nhiều của] [03well]\n- tốt nhất, hay nhất; hơn nhất\n[02= he work best in the morning] anh ấy làm việc tốt nhất vào buổi sáng\n[02= the dressed woman] người đàn bà ăn mặc đẹp nhất\n[04! gad best]\n- tốt nhất là, khôn hơn hết là\n[02= we had best go home now] tốt nhất là bây giờ chúng ta về nhà\n[02= the best abused] (tục) bị chửi nhiều nhất (người, vật...)\n[01* dtừ]\n- cái tốt nhất, cái hay nhất, cái đẹp nhất\n- cố gắng lớn nhất\n- quần áo đẹp nhất\n[04! at (the) best]\n- trong điều kiện tốt nhất, trong hoàn cảnh tốt nhất\n[04! bad is the best]\n- không có triển vọng gì hay, không hy vọng gì có chuyện tốt đẹp xảy ra\n[04! to be at one's best]\n- lúc đẹp nhất, lúc tốt nhất, lúc sung sức nhất, lúc rực rỡ nhất\n[04! the best is the enemy of the good]\n- (tục ngữ) cầu toàn thường khi lại hỏng việc\n[04! to be one's best]\n- làm hết sức mình\n[04! to get (have) the best of it]\n- thắng thế (trong khi tranh luận...)\n[04! to get the best of someone]\n- (thể thao) thắng ai\n[04! if you cannot have the best, make the best of what you have]\n- (tục ngữ) không có cá thì lấy rau má làm ngon\n[04! Sunday best]\n- xem [03Sunday]\n[04! to make the best of it (of a bad bargain, of a bad business, of a bad job)]\n- mặc dầu có khó khăn vẫn vui vẻ cố gắng; không nản lòng trong lúc khó khăn\n[04! to make the best of something]\n- tận dụng cái hay, cái tốt đẹp của việc gì\n- chịu đựng cái gì\n[04! to make the best of one's time]\n- tranh thủ thời gian\n[04! to make the best of one's way]\n- đi thật nhanh\n[04! to send one's best]\n- gửi lời chào, gửi lời chúc mừng\n[04! to the best of one's knowledge]\n- với tất cả sự hiểu biết của mình\n[04! to the best of one's power (ability)]\n- với tất cả khả năng của mình\n[04! with the best]\n- như bất cứ ai\n[02= although he is nearly sixty, he can still carry 40 kg on his shoulder with the best] mặc dù đã gần sáu mươi tuổi, cụ ấy vẫn gánh được 40 kg như những người khác\n[01* ngđtừ]\n- hơn, thắng (ai) ; ranh ma hơn, láu cá hơn (ai) 
best approximation	- (kỹ) ứớc lượng gần đúng nhất
best end [01/'best,end/]	[01* dtừ]\n- phần cuối cổ của cừu, lợn..., gần xương sườn nhất
best girl [01/'best'gə:l/]	[01* dtừ]\n- (tục) người yêu, người tình
best looker [01/'best'lukə/]	[01* dtừ]\n- (Mỹ),(tục) chàng đẹp trai
best man [01/'best'mæn/]	như [03bridesman]
best seller [01/'best'selə/]	[01* dtừ]\n- cuốn sách bán chạy nhất; đĩa hát bán chạy nhất\n- tác giả cuốn sách bán chạy nhất
best-case [01/'bestkeis/]	[01* ttừ] tốt nhất; tối ưu
bestead [01/bi'sted/]	[01* (bất qui tắc) đtừ] [03besteaded] /bi'stedid/; [03bested] /bi'sted/, [03bestead]\n- giúp đỡ, giúp ích cho
bested [01/bi'sted/]	như [03bestead]
best-fit method	- (kỹ) phương pháp lắp vừa nhất
bestial [01/'bestjəl/]	[01* ttừ]\n- (thuộc) súc vật, có tính súc vật\n- cục súc, độc ác, dã man, đầy thú tính\n- dâm đãng, đồi truỵ
bestiality [01/,besti'æliti/]	[01* dtừ]\n- thú tính\n- hành động thú tính
bestialize [01/'bestjəlaiz/]	[01* ngđtừ]\n- làm thành cục súc, làm thành độc ác, làm cho dã man, làm cho có đầy thú tính
bestially [01/'bestjəli/]	[01* phtừ]\n- thô lỗ, cộc cằn, hung tợn
bestiary [01/'bestiəri/]	[01* dtừ]\n- bộ sưu tập truyện ngụ ngôn về thú vật
bestir [01/bi'stə:/]	[01* ngđtừ]\n- khuấy động\n[04! to bestir oneself]\n- cựa quây, vùng vẫy\n- hoạt động lên
